needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Каурма,Каурма,Куырдак по-грузински,Каурма,Грузин стиліндегі қуырдақ,Kaurma,Georgian-style kuyrdak
Кетчуп 50гр,Кетчуп 50 гр,,Кетчуп 50 гр,,Ketchup 50 g,
Куриные котлеты с картофельным пюре,Куриные котлеты с картофельным пюре,,Картоп пюресімен тауық котлеттері,,Chicken cutlets with mashed potatoes,
Куриные нагетсы,Куриные наггетсы,,Тауық наггетстері,,Chicken nuggets,
Лаваш,Лаваш,,Лаваш,,Lavash,
Латте,Латте,,Латте,,Latte,
Лобио,Лобио,"Фасоль, томленная с луком, специями и зеленью",Лобио,"Пияз, дәмдеуіштер мен көкөністермен бұқтырылған үрме бұршақ",Lobio,"Beans stewed with onions, spices, and herbs"
Люля-кебаб из баранины,Люля-кебаб из баранины,,Қой етінен люля-кебаб,,Lamb lula kebab,
Майонез 50гр,Майонез 50 гр,,Майонез 50 гр,,Mayonnaise 50 g,
Масло сливочное 50гр,Масло сливочное 50 гр,,Сары май 50 гр,,Butter 50 g,
Мимино,Мимино,"Телятина с грибами и картофелем, запеченные под сулугуни",Мимино,Сулугуни астында пісірілген саңырауқұлақтар мен картоп қосылған бұзау еті,Mimino,Veal with mushrooms and potatoes baked under suluguni cheese
Мини суп-лапша,Мини суп-лапша,,Мини кеспе-сорпа,,Mini noodle soup,
Мини-чебуреки по грузински,Мини-чебуреки по грузински,Мини-чебуреки с говяжьим фаршем и грузинскими специями с соусом сацибели,Грузияша мини-чебурек,Сацибели тұздығымен сиыр тартылған етінен және грузин дәмдеуіштерімен жасалған мини-чебурек,Mini Georgian-style chebureki,Mini-chebureki with beef mince and Georgian spices served with satsibeli sauce
Мясное ассорти,Мясное ассорти,"Казы, куриный рулет, говяжий рулет",Ет ассорти,"Қазы, тауық рулеті, сиыр рулеті",Meat assortment,"Kazy, chicken roll, beef roll"
Мясо по-кахетински,Мясо по-кахетински,"Стейк из говяжьей вырезки, запеченный с сыром и яйцом",Кахетиндік ет,Ірімшік пен жұмыртқа астында пісірілген сиыр етінің стейкі,Kakhetian-style meat,Beef tenderloin steak baked with cheese and egg
Набеглави 200ml,Набеглави 200 мл,,Набеглави 200 мл,,Nabeglavi 200 ml,
Набеглави 500ml,Набеглави 500 мл,,Набеглави 500 мл,,Nabeglavi 500 ml,
Натахтари 500ml,Натахтари 500 мл,,Натахтари 500 мл,,Natakhtari 500 ml,
Овощи гриль,Овощи гриль,,Көкөністер грильде,,Grilled vegetables,
Оджахури из баранины,Оджахури из баранины,Обжаренная баранина с картофелем,Қой етінен оджахури,Картоп қосылған қуырылған қой еті,Lamb ojakhuri,Fried lamb with potatoes
Остри,Остри,"Тушеная говядина с остринкой в томатном соусе, с солеными огурцами и грузинскими специями",Остри,Тұздалған қияр мен грузин дәмдеуіштері қосылған қызанақ тұздығында бұқтырылған сиыр еті,Ostri,Braised beef with a spicy touch in tomato sauce with pickles and Georgian spices
Паста Альфредо с курицей,Паста Альфредо с курицей,Фетучини с нежным куриным филе и шампиньонами в сливочном соусе,Альфредо пастасы тауықпен,Кілегей тұздығындағы жұмсақ тауық филесі мен шампиньон қосылған фетучини,Alfredo pasta with chicken,Fettuccine with tender chicken fillet and mushrooms in a creamy sauce
Паста Карбонара с говядиной,Паста Карбонара с говядиной,Спагетти с вяленой говядиной в сливочном соусе,Карбонара пастасы сиыр етімен,Кілегей тұздығындағы кептірілген сиыр еті қосылған спагетти,Carbonara pasta with beef,Spaghetti with dried beef in a creamy sauce
Паста с морепродуктами,Паста с морепродуктами,Фетучини с семгой и креветками в сливочном соусе,Теңіз өнімдері қосылған паста,Кілегей тұздығындағы семга мен асшаян қосылған фетучини,Seafood pasta,Fettuccine with salmon and shrimp in a creamy sauce
Перец Чили 6 гр,Перец Чили 6 гр,,Чили бұрышы 6 гр,,Chili pepper 6 g,
Пхали Испанахи,Пхали Испанахи,Пхали из шпината,Испанахи пхали,Шпинаттан жасалған пхали,Phali Ispanakhi,Phali from spinach
Пхали Чархали,Пхали Чархали,Пхали из свеклы,Чархали пхали,Қызылшадан жасалған пхали,Phali Charkhali,Phali from beets
Раф крем брюле,Раф Крем-брюле,,Раф Крем-брюле,,Raf Crème brûlée,
Раф,Раф,,Раф,,Raf,
Рис отварной,Рис отварной,,Қайнатылған күріш,,Boiled rice,
Рыбное ассорти,Рыбное ассорти,"Семга малосольная, эсколар, икра красная",Балық ассорти,"Сәл тұздалған семга, эсколар, қызыл уылдырық",Fish assortment,"Lightly salted salmon, escolar, and red caviar"
Саконели с лисичками,Саконели с лисичками,"Обжаренная говяжья вырезка с лисичками и луком, заправленная грузинскими специями",Лисичка қосылған саконели,Грузин дәмдеуіштерімен дәмделген түлкі саңырауқұлақтары мен пияз қосылған қуырылған сиыр еті,Sakoneli with chanterelles,"Fried beef tenderloin with chanterelles and onions, seasoned with Georgian spices"
Салат Азиатский,Салат Азиатский,Хрустящие баклажаны с помидорами и творожным сыром в соусе свитчили,Азиялық салат,"Қытырлақ баклажан, қызанақ және сүзбе ірімшігі, тәтті-чили тұздығында",Asian salad,Crispy eggplants with tomatoes and cottage cheese in sweet chili sauce
Салат Батуми,Салат Батуми,"Тигровые креветки, микс зелени в соусе свит-чили, бальзамик и пармезан",Батуми салаты,"Тигр асшаяндары, көкөніс қоспасы тәтті-чили, бальзамик және пармезан тұздығымен",Batumi salad,"Tiger shrimp, mixed greens in sweet chili sauce, balsamic, and parmesan"
Салат Калакури,Салат Калакури,"Салат с обжаренным куриным филе с апельсином, заправленный оливковым маслом и горчицей",Калакури салаты,Зәйтүн майы мен қыша қосылған апельсинмен қуырылған тауық филесі қосылған салат,Kalakuri salad,"Salad with fried chicken fillet and orange, dressed with olive oil and mustard"
Салат Катмиани,Салат Катмиани,"Салат с обжаренной куриной грудкой, солеными огурцами и фасолью",Катмиани салаты,"Қуырылған тауық төс еті, тұздалған қияр және үрме бұршақ қосылған салат",Katmiani salad,"Salad with grilled chicken breast, pickles, and beans"
Салат Лобиани,Салат Лобиани,"Стручковая фасоль, болгарский перец, томаты в уксусной заправке",Лобиани салаты,"Сірке тұздығындағы жасыл үрме бұршақ, болгар бұрышы, қызанақ",Lobiani salad,"Green beans, bell peppers, and tomatoes in vinegar dressing"
Салат Нази,Салат Нази,"Салат с куриным рулетом, с добавлением шампиньонов, листьев айсберга, заправленный фирменной йогуртовой заправкой",Нази салаты,"Айсберг жапырақтары мен саңырауқұлақтары қосылған тауық рулеті бар салат, фирмалық йогурт тұздығымен",Nazi salad,"Salad with chicken roll, mushrooms, iceberg lettuce, dressed with signature yogurt dressing"
Салат Портохали,Салат Портохали,"Отварная свекла, апельсин, рукола, заправленные оливковым маслом",Портохали салаты,"Зәйтүн майында қызылша, апельсин және руккола қосылған салат",Portokhali salad,"Boiled beets, orange, arugula, dressed with olive oil"
Салат Рустави,Салат Рустави,Хрустящие баклажаны с помидорами и творожным сыром в соусе свит-чили,Рустави салаты,"Қытырлақ баклажан, қызанақ және сүзбе ірімшігі, тәтті-чили тұздығында",Rustavi salad,Crispy eggplants with tomatoes and cottage cheese in sweet chili sauce
Салат Тбилиси,Салат Тбилиси,"Огурцы, говяжий язык, сулугуни, шампиньоны, маслины, лист салата, майонез",Тбилиси салаты,"Қияр, сиыр тілі, сулугуни, саңырауқұлақтар, зәйтүн, салат жапырақтары, майонез",Tbilisi salad,"Cucumbers, beef tongue, suluguni, mushrooms, olives, lettuce, and mayonnaise"
Салат Телави,Салат Телави,"Нежнейшее мясо телятины, обжаренное в медово-имбирном соусе, в сочетании со шпинатом, черри и перепелиными яйцами",Телави салаты,"Бал-имбир тұздығында қуырылған бұзау еті, шпинат, қызанақ және бөдене жұмыртқасымен үйлесімде",Telavi salad,"Tender veal meat fried in honey-ginger sauce combined with spinach, cherry tomatoes, and quail eggs"
Салат Шпинат с запеченной свеклой и творожным сыром,Салат Шпинат с запеченной свеклой и творожным сыром,"Свежий шпинат, свекла, творожный сыр с лимонно-гранатовой заправкой",Қызылша мен ірімшік қосылған шпинат салаты,"Лимон-анар тұздығымен шпинат, қызылша және сүзбе ірімшігі қосылған салат",Spinach salad with roasted beetroot and cottage cheese,"Fresh spinach, beets, cottage cheese with lemon-pomegranate dressing"
Салат из свежих овощей с орехами,Салат из свежих овощей с орехами,"Помидоры, огурцы, орехи, винный уксус",Жаңғақ қосылған көкөніс салаты,"Қызанақ, қияр, жаңғақ, шарап сірке суы",Fresh vegetable salad with nuts,"Tomatoes, cucumbers, walnuts, wine vinegar"
Салат по-деревенски Глехури,Салат по-деревенски Глехури,"Салат с картофельными дольками, миксом зелени, вялеными томатами, заправленный фирменным сливочным соусом",Ауыл салаты Глехури,"Фирмалық кілегей тұздығымен картоп тілімдері, көкөніс қоспасы және кептірілген қызанақ қосылған салат",Rustic salad Glekhuri,"Salad with potato wedges, mixed greens, sun-dried tomatoes, dressed with signature creamy sauce"
Салат руккола с лососем,Салат руккола с лососем,"Руккола, малосольная семга, творожный сыр, лимонная заправка",Лосось қосылған руккола салаты,"Руккола, аздап тұздалған семга, сүзбе ірімшігі, лимон тұздығы",Arugula salad with salmon,"Arugula, lightly salted salmon, cottage cheese, and lemon dressing"
Салат с обжаренными баклажанами и брынзой,Салат с обжаренными баклажанами и брынзой,"Руккола с обжаренными баклажанами и брынзой, черри",Қуырылған баклажан мен брынза қосылған салат,"Қуырылған баклажан мен брынза қосылған руккола, қызанақ",Salad with fried eggplant and bryndza cheese,"Arugula with fried eggplants and bryndza cheese, cherry tomatoes"
Сельдь по-русски,Сельдь по-русски,"Селедка, отварной и обжаренный картофель, лук",Орысша сельд,"Майшабақ, қайнатылған және қуырылған картоп, пияз",Russian-style herring,"Herring, boiled and fried potatoes, onions"
Семга по-царски,Семга по-царски,"Филе семги, запеченное с картофелем и грибами под сыром сулугуни",Патша лососі,Сулугуни астында картоп пен саңырауқұлақтармен пісірілген семга филесі,Royal salmon,Salmon fillet baked with potatoes and mushrooms under suluguni cheese
Скумбрия в Кидзмари,Скумбрия в Кидзмари,"Филе скумбрии, маринованное в соусе из уксуса и кинзы",Кидзмаридегі скумбрия,Сірке суы мен кинза тұздығында маринадталған скумбрия филесі,Mackerel in Kidzmari,Mackerel fillet marinated in vinegar and cilantro sauce
Сливочный милк шейк,Сливочный милкшейк,,Кремді милкшейк,,Creamy milkshake,
Сметана 50гр,Сметана 50 гр,,Қаймақ 50 гр,,Sour cream 50 g,
Смузи Ананас-персик-грейпфрут,Смузи Ананас-персик-грейпфрут,,Ананас-өрік-грейпфрут смузи,,Smoothie Pineapple-peach-grapefruit,
Смузи Клубника Абрикос,Смузи Клубника Абрикос,,Құлпынай-өрік смузи,,Smoothie Strawberry-apricot,
Смузи Ягодно-фруктовый,Смузи Ягодно-фруктовый,,Жидекті-жемісті смузи,,Smoothie Berry-fruit,
"Сок Alali 0,75",Сок Alali 750 мл,"Высококачественный сок холодного отжима из грузинских фруктов, максимально сохраняющий полезные свойства",Alali шырыны 750 мл,"Грузин жемістерінен жасалған, пайдалы қасиеттерін барынша сақтайтын жоғары сапалы салқындатылған шырын",Alali juice 750 ml,"High-quality cold-pressed juice from Georgian fruits, preserving maximum health benefits"
Сок Alali,Сок Alali,"Высококачественный сок холодного отжима из грузинских фруктов, максимально сохраняющий полезные свойства",Alali шырыны,"Грузин жемістерінен жасалған, пайдалы қасиеттерін барынша сақтайтын жоғары сапалы салқындатылған шырын",Alali juice,"High-quality cold-pressed juice from Georgian fruits, preserving maximum health benefits"
"Сок Pago 0,2",Сок Pago 200 мл,,Pago шырыны 200 мл,,Pago juice 200 ml,
Сок Pago 1л,Сок Pago 1 л,,Pago шырыны 1 л,,Pago juice 1 L,
Соус Аджика 50гр,Соус Аджика 50 гр,,Аджика соусы 50 гр,,Adjika sauce 50 g,
Соус Сацибели 50гр,Соус Сацибели 50 гр,,Сацибели соусы 50 гр,,Satsibeli sauce 50 g,
Соус Ткемали 50гр,Соус Ткемали 50 гр,,Ткемали соусы 50 гр,,Tkemali sauce 50 g,
Соус Чесночный 50гр,Соус Чесночный 50 гр,,Сарымсақ соусы 50 гр,,Garlic sauce 50 g,
Соус Шашлычный 50гр,Соус Шашлычный 50 гр,,Шашлық соусы 50 гр,,Barbecue sauce 50 g,
Стейк Рибай,Стейк Рибай,,Рибай стейк,,Ribeye steak,
Стейк Тибон,Стейк Тибон,,Тибон стейк,,T-bone steak,
Стейк из семги с икорным соусом,Стейк из семги с икорным соусом,В сливочно-икорном соусе с картофельными дольками,Икра соусы қосылған семга стейкі,Картоп тілімдерімен кілегей-уылдырық тұздығында,Salmon steak with caviar sauce,In creamy caviar sauce with potato wedges
Суп Солянка по-грузински,Солянка по-грузински,"Копченая колбаса, копченая курица, соленые огурцы, картофель, маслины, лимон",Грузияша солянка,"Ысталған шұжық, ысталған тауық еті, тұздалған қияр, картоп, зәйтүн, лимон",Georgian solyanka,"Smoked sausage, smoked chicken, pickles, potatoes, olives, and lemon"
Суп Уха по-царски,Уха по-царски,"Уха из семги, креветок и филе судака",Патша балық сорпасы,"Семга, асшаян және көксерке филесінен жасалған балық сорпасы",Royal fish soup,"Fish soup with salmon, shrimp, and zander fillet"
Суп Харчо,Харчо,Грузинский национальный суп с говядиной и специями,Харчо,Грузин дәмдеуіштерімен сиыр етінен жасалған ұлттық сорпа,Kharcho,Georgian national soup with beef and spices
Суп Хашлама из баранины,Хашлама из баранины,Суп из баранины с помидорами и специями,Қой етінен хашлама,Қызанақ пен дәмдеуіштері бар қой етінен жасалған сорпа,Lamb khashlama,Lamb soup with tomatoes and spices
Суп Чечевичный,Чечевичный суп,Турецкий суп из чечевицы с остринкой,Жасымық сорпасы,Шұғылалық қосылған түрік жасымық сорпасы,Lentil soup,Turkish lentil soup with a spicy kick
Суп из мини-хинкали,Суп из мини-хинкали,,Мини-хинкали сорпасы,,Mini-khinkali soup,
Сырное ассорти,Сырное ассорти,"Сулугуни, брынза, копченый сулугуни, сыр Лори, мед, орехи, виноград",Ірімшік ассорти,"Сулугуни, брынза, ысталған сулугуни, Лори ірімшігі, бал, жаңғақ, жүзім",Cheese assortment,"Suluguni, bryndza, smoked suluguni, Lori cheese, honey, nuts, grapes"
Тартар из томатов,Тартар из томатов,Тартар из томатов и редиса с руколой,Қызанақ тартары,Руккола қосылған қызанақ және шалғам тартары,Tomato tartare,Tomato and radish tartare with arugula
Тбилиский рассвет 450мл,Тбилиский рассвет 450 мл,,Тбилиси таңы 450 мл,,Tbilisi dawn 450 ml,
Теплый салат с куриным филе,Теплый салат с куриным филе,"Куриное филе, лолла росса, черри и кедровые орешки",Тауық еті қосылған жылы салат,"Тауық филесі, лолла россо, қызанақ және балқарағай жаңғақтары",Warm salad with chicken fillet,"Chicken fillet, lollo rosso, cherry tomatoes, and pine nuts"
Теплый салат с телятиной,Теплый салат с телятиной,,Сиыр еті қосылған жылы салат,,Warm salad with veal,
Том ям с креветками,Том ям с креветками,"Тайский суп с креветками, грибами и кокосовым молоком",Асшаян қосылған Том Ям,"Асшаяндар, саңырауқұлақтар мен кокос сүті қосылған тай сорпасы",Tom Yum with shrimp,"Thai soup with shrimp, mushrooms, and coconut milk"
Фасоль от Шеф повара,Фасоль от Шеф повара,"Обжаренная говяжья вырезка с добавлением фасоли, томленная в томатном соусе",Шеф аспаздың бұршақ тағамы,Қызанақ тұздығында бұқтырылған үрме бұршақ қосылған қуырылған сиыр еті,Chef’s special beans,Fried beef tenderloin with beans stewed in tomato sauce
Фейхоа микс 450мл,Фейхоа микс 450 мл,,Фейхоа микс 450 мл,,Feijoa mix 450 ml,
Филе судака с рисом,Филе судака с рисом,Запеченное филе судака со специями с припущенным рисом,Күріш қосылған көксерке филе,Дәмдеуіштермен пісірілген көксерке филесі және буда дайындалған күріш,Zander fillet with rice,Baked zander fillet with spices and steamed rice
Форель на углях,Форель на углях,,Көмірде пісірілген форель,,Grilled trout,
Фреш Грейпфрутовый,Фреш грейпфрутовый,,Грейпфрут фреш,,Grapefruit fresh juice,
Фреш апельсиновый,Фреш апельсиновый,,Апельсин фреш,,Orange fresh juice,
Фреш яблочный,Фреш яблочный,,Алма фреш,,Apple fresh juice,
Фруктовое ассорти,Фруктовое ассорти,Ассорти сезонных фруктов,Жеміс ассорти,Маусымдық жемістер ассортиі,Fruit assortment,Assorted seasonal fruits
Хачапури Хабидзгина,Хачапури Хабидзгина,Осетинские хачапури с начинкой из картофеля с сыром,Хачапури Хабидзгина,Картоп пен ірімшік қосылған осетин хачапуриі,Khachapuri Khabidzgina,Ossetian khachapuri with potato and cheese filling
Хачапури на шампуре,Хачапури на шампуре,,Шампурда хачапури,,Skewered khachapuri,
Хачапури пеновани,Хачапури пеновани,Хачапури из слоеного теста,Пеновани хачапури,Қатпарлы қамырдан жасалған хачапури,Penovani khachapuri,Puff pastry khachapuri
Хачапури по-аджарски,Хачапури по-аджарски,"Хачапури в форме лодочки с яйцом, сулугуни, брынзой и сливочным маслом",Аджарша хачапури,"Жұмыртқа, сулугуни, брынза және сары май қосылған қайық пішінді хачапури",Adjarian khachapuri,"Boat-shaped khachapuri with egg, suluguni, bryndza, and butter"
Хачапури по-имеретински,Хачапури по-имеретински,Хачапури с сулугуни и брынзой,Имеретиндік хачапури,Сулугуни мен брынза қосылған хачапури,Imeretian khachapuri,Khachapuri with suluguni and bryndza
Хачапури по-мегрельски,Хачапури по-мегрельски,,Мегрельдік хачапури,,Megrelian khachapuri,
Хачапури по-царски,Хачапури по-царски,Хачапури с тремя слоями сыра,Патша хачапури,Үш қабатты ірімшік қосылған хачапури,Royal khachapuri,Khachapuri with three layers of cheese
Хашлама из говядины,Хашлама из говядины,"Отварная говяжья грудинка с зеленью и отварным картофелем, отдельно подается чесночный соус",Сиыр етінен хашлама,"Қайнатылған сиыр төс еті, көкөністер және қайнатылған картоп, бөлек сарымсақ тұздығы беріледі",Beef khashlama,"Boiled beef brisket with greens and boiled potatoes, served with garlic sauce on the side"
Хинкали с бараниной,Хинкали с бараниной,"Грузинское национальное блюдо из теста, с начинкой из баранины со специями и зеленью, 5 шт",Қой етінен хинкали,"Қой еті, дәмдеуіштер және көкөністерден жасалған ұлттық грузин тағамы, 5 дана",Lamb khinkali,"Georgian national dish made of dough filled with minced lamb, spices, and herbs, 5 pcs"
Хинкали с говядиной,Хинкали с говядиной,"Грузинское национальное блюдо из теста, с начинкой из говядины со специями и зеленью, 5 шт",Сиыр етінен хинкали,"Сиыр еті, дәмдеуіштер және көкөністерден жасалған ұлттық грузин тағамы, 5 дана",Beef khinkali,"Georgian national dish made of dough filled with minced beef, spices, and herbs, 5 pcs"
Хинкали с сыром,Хинкали с сыром,"Грузинское национальное блюдо из теста, с начинкой из сыра, 5 шт",Ірімшік қосылған хинкали,"Ірімшік қосылған ұлттық грузин тағамы, 5 дана",Cheese khinkali,"Georgian national dish made of dough filled with cheese, 5 pcs"
Хрустящие бараньи ребрышки,Хрустящие бараньи ребрышки,"Бараньи ребрышки, обжаренные с луком и перцем",Қытырлақ қой қабырғалары,Пияз және бұрышпен қуырылған қой қабырғалары,Crispy lamb ribs,Lamb ribs fried with onions and peppers
Хычины с картофелем и сыром,Хычины с картофелем и сыром,,Картоп пен ірімшік қосылған хычины,,Khychiny with potatoes and cheese,
Хычины с сыром,Хычины с сыром,,Ірімшік қосылған хычины,,Khychiny with cheese,
Цыпленок табака,Цыпленок табака,Хрустящий маринованный по-грузински цыпленок табака,Тауық табака,Грузин стилінде маринадталған қытырлақ цыпленок табака,Chicken tabaka,Crispy Georgian-style marinated chicken tabaka
Чай Ассам 400ml,Чай Ассам 400 мл,,Ассам шайы 400 мл,,Assam tea 400 ml,
Чай Горные травы 400ml,Чай Горные травы 400 мл,,Таулы шөптер шайы 400 мл,,Mountain herbs tea 400 ml,
Чай Гранат малина 450ml,Чай Гранат малина 450 мл,,Анар-таңқурай шайы 450 мл,,Pomegranate-raspberry tea 450 ml,
Чай Дикая вишня 400ml,Чай Дикая вишня 400 мл,,Қызыл шие шайы 400 мл,,Wild cherry tea 400 ml,
Чай Жасмин Тинг Юань 400ml,Чай Жасмин Тинг Юань 400 мл,,Жасмин Тинг Юань шайы 400 мл,,Jasmine Ting Yuan tea 400 ml,
Чай Имбирный 450ml,Чай Имбирный 450 мл,,Зімбір шайы 450 мл,,Ginger tea 450 ml,
Чай Маракуйя 450ml,Чай Маракуйя 450 мл,,Құмарлық жемісі шайы 450 мл,,Passion fruit tea 450 ml,
Чай Марокканский 450ml,Чай Марокканский 450 мл,,Марокко шайы 450 мл,,Moroccan tea 450 ml,
Чай Молочный улун 400ml,Чай Молочный улун 400 мл,,Сүтті улун шайы 400 мл,,Milk oolong tea 400 ml,
Чай Облепиха апельсин 450ml,Чай Облепиха-апельсин 450 мл,,Қарақат-апельсин шайы 450 мл,,Sea buckthorn-orange tea 450 ml,
Чай Ройбушь Ваниль-Карамель 400ml,Чай Ройбуш Ваниль-Карамель 400 мл,,Ройбуш Ваниль-Карамель шайы 400 мл,,Rooibos Vanilla-Caramel tea 400 ml,
Чай Ромашковый с клюквой 450ml,Чай Ромашковый с клюквой 450 мл,,Түймедақ-шие шайы 450 мл,,Chamomile tea with cranberry 450 ml,
Чай Сенча 400ml,Чай Сенча 400 мл,,Сенча шайы 400 мл,,Sencha tea 400 ml,
Чай Ташкентский 450ml,Чай Ташкентский 450 мл,,Ташкент шайы 450 мл,,Tashkent tea 450 ml,
Чай Эрл Грей 400ml,Чай Эрл Грей 400 мл,,Эрл Грей шайы 400 мл,,Earl Grey tea 400 ml,
Чай Яблочно ванильный 450ml,Чай Яблочно-ванильный 450 мл,,Алма-ваниль шайы 450 мл,,Apple-vanilla tea 450 ml,
