needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Каша овсяная,Каша овсяная,Полезная овсяная каша с ягодами и сливочным маслом.,Сұлы ботқасы,Денсаулыққа пайдалы сұлы ботқасы жидектер мен маймен.,Oatmeal porridge,Healthy oatmeal porridge with berries and butter.
Самса с мясом 3 шт,Самса с мясом 3 шт,,Етті самса 3 дана,,Meat samsa (3 pcs),
Свежая лепешка,Свежая лепешка,,Жаңа піскен нан,,Freshly baked flatbread,
Хлебное ассорти,Хлебное ассорти,,Нан ассорти,,Assorted bread,
Самса с курицей 3 шт,Самса с курицей 3 шт,,Тауық еті қосылған самса 3 дана,,Chicken samsa (3 pcs),
Самса со шпинатом и брынзой 3 шт,Самса со шпинатом и брынзой 3 шт,,Шпинат пен брынза қосылған самса 3 дана,,Samsa with spinach and brynza (3 pcs),
Чебуреки с мясом,Чебуреки с мясом,,Ет қосылған чебурек,,Chebureki with meat,
Восточный сет из выпечек,Восточный сет из выпечек,,Шығыс бәліштер жиынтығы,,Oriental pastry set,
Самбуса,Самбуса,,Самбуса,,Sambusa,
Баурсаки со сметаной,Баурсаки со сметаной,,Қаймақпен бауырсақ,,Baursaks with sour cream,
Бухарская самса 3 шт,Бухарская самса 3 шт,,Бұхар самсасы 3 дана,,Bukhara samsa (3 pcs),
Комплимент Шелпек ,Комплимент Шелпек ,,Комплимент шелпек,,Complimentary shelpek,
Хычины с сыром,Хычины с сыром,,Сыр қосылған хычиндер,,Khychins with cheese,
Weihenstephan hefe Weissbier БУТ,Weihenstephan hefe Weissbier,,Weihenstephan Hefe Weissbier,,Weihenstephan Hefe Weissbier,
"Guinness micro draft  0,44л",Guinness micro draft  440 мл,,Guinness Micro Draft 440 мл,,Guinness Micro Draft 440 ml,
"Heineken 0.0 Б\А  0,33л",Heineken 0.0 Б\А  330 мл,,Heineken 0.0 Б\А 330 мл,,Heineken 0.0 Non-Alcoholic 330 ml,
"Heineken 0,33 (бут)","Heineken 0,33 ",,"Heineken 0,33",,Heineken 0.33,
"Max & Jacks 0,4л манго/вишня",Max & Jacks манго/вишня 400 мл,,Max & Jacks манго/шие 400 мл,,Max & Jacks Mango/Cherry 400 ml,
"Bushmills Single Malt (0,050)",Bushmills Single Malt 50 мл,,Bushmills Single Malt 50 мл,,Bushmills Single Malt 50 ml,
"Jameson (0,050)",Jameson 50 мл,,Jameson 50 мл,,Jameson 50 ml,
"Jameson Stout Edition (0,050)",Jameson Stout Edition 50 мл,,Jameson Stout Edition 50 мл,,Jameson Stout Edition 50 ml,
"Jameson Black barrel (0,050)",Jameson Black barrel 50 мл,,Jameson Black Barrel 50 мл,,Jameson Black Barrel 50 ml,
"Bushmills Original (0,050)",Bushmills Original 50 мл,,Bushmills Original 50 мл,,Bushmills Original 50 ml,
"Bushmills Black Bush (0,050)",Bushmills Black Bush 50 мл,,Bushmills Black Bush 50 мл,,Bushmills Black Bush 50 ml,
Могу лагман,Могу лагман,,Мәгу ләғман,,Mogu Lagman,
Гуйру лагман,Гуйру лагман,,Гуйру ләғман,,Guiru Lagman,
Суйру лагман,Суйру лагман,,Суйру ләғман,,Suiru Lagman,
Мошуру лагман,Мошуру лагман,,Мошуру ләғман,,Moshuru Lagman,
Суйру цомян,Суйру цомян,,Суйру цомян,,Suiru Tsomyan,
Джусай лагман,Джусай лагман,,Джусай ләғман,,Dzhusai Lagman,
Лагман от шефа ,Лагман от шефа ,,Шефтің ләғманы,,Chef’s Lagman,
Гуйру ганфан,Гуйру ганфан,,Гуйру ганфан,,Guiru Ganfan,
Суйру ганфан,Суйру ганфан,,Суйру ганфан,,Suiru Ganfan,
Лагман из курицы,Лагман из курицы,,Қуырылған тауық еті лагманы,,Chicken lagman,
Лазру лагман,Лазру лагман,,Лазру лагманы,,Lazru lagman,
Могуру лагман,Могуру лагман,,Могуру лагманы,,Moguru lagman,
Гямбян цомян,Гямбян цомян,,Гямбян цомян,,Gyambyan somyan,
Джусай цомян,Джусай цомян,,Джусай цомян,,Jusai somyan,
Гуйру цомян,Гуйру цомян,,Гуйру цомян,,Guiro somyan,
Бесбармак (4-5 персон),Бесбармак (4-5 персон),,Бесбармақ (4-5 адам),,Beshbarmak (4-5 people),
Плов праздничный (4-5 персон),Плов праздничный (4-5 персон),,Мерекелік палау (4-5 адам),,Festive pilaf (4-5 people),
Дунганский ян пай из баранины (4-5 персон),Дунганский ян пай из баранины (4-5 персон),,Дүнгендік ян пай қой етінен (4-5 адам),,Dungan Yan Pai with lamb (4-5 people),
Манты с мясом (4-5 персон),Манты с мясом (4-5 персон),,Манты етпен (4-5 адам),,Manty with meat (4-5 people),
Сяй сет,Сяй сет,,Сяй сет,,Sia set,
Плов ханский (4-5 персон),Плов ханский (4-5 персон),,Хан палауы (4-5 адам),,Khan pilaf (4-5 people),
Куриный сет,Куриный сет,,Тауық еті сеті,,Chicken set,
Манты с тыквой (4-5 персон),Манты с тыквой (4-5 персон),,Қарбыз манты (4-5 адам),,Pumpkin manty (4-5 people),
Сырне (4-5 персон),Сырне (4-5 персон),,Сырне (4-5 адам),,Syrne (4-5 people),
Дапанжи (4-5 персон),Дапанжи (4-5 персон),,Дапанжи (4-5 адам),,Dapanji (4-5 people),
Ассорти из шашлыков,Ассорти из шашлыков,,Шашлық асортасы,,Shashlik assortment,
Сэт из Морепродуктов,Сет из морепродуктов,,Теңіз өнімдері сеті,,Seafood set,
Мясной сэт,Мясной сет,,Ет сеті,,Meat set,
Чай Сенча Сенпай 900 мл,Чай Сенча Сенпай 900 мл,,Чай Сенча Сенпай 900 мл,,Sencha Senpai tea 900 ml,
Чай Ассам Меленг 400 мл,Чай Ассам Меленг 400 мл,,Чай Ассам Меленг 400 мл,,Assam Melenge tea 400 ml,
Чай Сенча Сенпай 400 мл,Чай Сенча Сенпай 400 мл,,Чай Сенча Сенпай 400 мл,,Sencha Senpai tea 400 ml,
Чай Дикая вишня 900 мл,Чай Дикая вишня 900 мл,,Чай Дикая вишня 900 мл,,Wild Cherry tea 900 ml,
Чай Жасмин Тинг Юань 400 мл,Чай Жасмин Тинг Юань 400 мл,,Чай Жасмин Тинг Юань 400 мл,,Jasmine Ting Yuan tea 400 ml,
Чай Дикая вишня 400 мл,Чай Дикая вишня 400 мл,,Чай Дикая вишня 400 мл,,Wild Cherry tea 400 ml,
Чай Империал Эрл Грей 400 мл,Чай Империал Эрл Грей 400 мл,,Чай Империал Эрл Грей 400 мл,,Imperial Earl Grey tea 400 ml,
Чай Молочный Улун 900 мл,Чай Молочный Улун 900 мл,,Чай Молочный Улун 900 мл,,Milk Oolong tea 900 ml,
Чай Ройбуш Ваниль-Карамель 900 мл,Чай Ройбуш ваниль-карамель 900 мл,,Чай Ройбуш ваниль-карамель 900 мл,,Rooibos vanilla-caramel tea 900 ml,
Чай Горные травы 400 мл,Чай Горные травы 400 мл,,Чай Горные травы 400 мл,,Mountain herbs tea 400 ml,
Чай Жасмин Тинг Юань 900 мл,Чай Жасмин Тинг Юань 900 мл,,Чай Жасмин Тинг Юань 900 мл,,Jasmine Ting Yuan tea 900 ml,
Чай Горные травы 900 мл,Чай Горные травы 900 мл,,Чай Горные травы 900 мл,,Mountain herbs tea 900 ml,
Чай Ассам Меленг 900 мл,Чай Ассам Меленг 900 мл,,Чай Ассам Меленг 900 мл,,Assam Melenge tea 900 ml,
Чай Ройбуш Ваниль-Карамель 400 мл,Чай Ройбуш ваниль-карамель 400 мл,,Чай Ройбуш ваниль-карамель 400 мл,,Rooibos vanilla-caramel tea 400 ml,
Чай Молочный Улун 400 мл,Чай Молочный Улун 400 мл,,Чай Молочный Улун 400 мл,,Milk Oolong tea 400 ml,
Чай Империал Эрл Грей 900 мл,Чай Империал Эрл Грей 900 мл,,Чай Империал Эрл Грей 900 мл,,Imperial Earl Grey tea 900 ml,
Вино Askaneli Brothers Alazany Valley,Вино Askaneli Brothers Alazany Valley,,Вино Askaneli Brothers Alazany Valley,,Askaneli Brothers Alazany Valley wine,
Вино Cape Dream Sauvignon Blanc,Вино Cape Dream Sauvignon Blanc,,Вино Cape Dream Sauvignon Blanc,,Cape Dream Sauvignon Blanc wine,
"Вино Chateau Timberlay, Bordeaux","Вино Chateau Timberlay, Bordeaux",,"Вино Chateau Timberlay, Bordeaux",,"Chateau Timberlay, Bordeaux wine",
Вино Le Sweet Filou,Вино Le Sweet Filou,,Вино Le Sweet Filou,,Le Sweet Filou wine,
Вино El Sanchez Semi-Dulce Blanco,Вино El Sanchez Semi-Dulce Blanco,,Вино El Sanchez Semi-Dulce Blanco,,El Sanchez Semi-Dulce Blanco wine,
Вино Bodegas Canopy Ganadero Blanco,Вино Bodegas Canopy Ganadero Blanco,,Вино Bodegas Canopy Ganadero Blanco,,Bodegas Canopy Ganadero Blanco wine,
Вино Devil`s Rock Riesling,Вино Devil`s Rock Riesling,,Вино Devil`s Rock Riesling,,Devil’s Rock Riesling wine,
Вино Circus Number 3 Canon Woman,Вино Circus Number 3 Canon Woman,,Вино Circus Number 3 Canon Woman,,Circus Number 3 Canon Woman wine,
Вино Sun Gate Chardonnay,Вино Sun Gate Chardonnay,,Вино Sun Gate Chardonnay,,Sun Gate Chardonnay wine,
Вино Terra Linda Viura Chardonnay,Вино Terra Linda Viura Chardonnay,,Вино Terra Linda Viura Chardonnay,,Terra Linda Viura Chardonnay wine,
Вино Jon Josh Pinot Grigio,Вино Jon Josh Pinot Grigio,,Вино Jon Josh Pinot Grigio,,Jon Josh Pinot Grigio wine,
Сок Pago в ассортименте 0.2,Сок Pago в ассортименте 200 мл,,Сок Pago әртүрлі 200 мл,,Pago juice assortment 200 ml,
"Fanta 0,250",Fanta 250 мл,,Fanta 250 мл,,Fanta 250 ml,
"Тоник Schweppes 0,45",Тоник Schweppes 450 мл,,Тоник Schweppes 450 мл,,Schweppes tonic 450 ml,
"Набеглави 0,5",Набеглави 500 мл,,Набеглави 500 мл,,Nabeglavi 500 ml,
"Sprite 0,250",Sprite 250 мл,,Sprite 250 мл,,Sprite 250 ml,
"Perrier Maison Peach Cherry 0,250л",Perrier Maison Peach Cherry 250 мл,,Perrier Maison Peach Cherry 250 мл,,Perrier Maison Peach Cherry 250 ml,
"Tassay 0,5",Tassay 500 мл,,Tassay 500 мл,,Tassay 500 ml,
"Coca-cola ZERO 0,250",Coca-Cola Zero 250 мл,,Coca-Cola Zero 250 мл,,Coca-Cola Zero 250 ml,
"Coca-cola 0,250",Coca-Cola 250 мл,,Coca-Cola 250 мл,,Coca-Cola 250 ml,
Red Bull 0.250,Red Bull 250 мл,,Red Bull 250 мл,,Red Bull 250 ml,
"Tassay Excellent 0,750",Tassay Excellent 750 мл,,Tassay Excellent 750 мл,,Tassay Excellent 750 ml,
"Tassay 0,2",Tassay 200 мл,,Tassay 200 мл,,Tassay 200 ml,
"Tassay Emerald 0,750",Tassay Emerald 750 мл,,Tassay Emerald 750 мл,,Tassay Emerald 750 ml,
"Набеглави 0,2",Набеглави 200 мл,,Набеглави 200 мл,,Nabeglavi 200 ml,
"Bacardi Spiced (0,050)",Bacardi Spiced 50 мл,,Bacardi Spiced 50 мл,,Bacardi Spiced 50 ml,
"Bacardi Carta Blanca (0,050)",Bacardi Carta Blanca 50 мл,,Bacardi Carta Blanca 50 мл,,Bacardi Carta Blanca 50 ml,
"Bacardi Carta Negra (0,050)",Bacardi Carta Negra 50 мл,,Bacardi Carta Negra 50 мл,,Bacardi Carta Negra 50 ml,
"Havana Club 3 YO (0,050)",Havana Club 3 YO 50 мл,,Havana Club 3 YO 50 мл,,Havana Club 3 YO 50 ml,
"Bacardi Reserva 8 (0,050)",Bacardi Reserva 8 50 мл,,Bacardi Reserva 8 50 мл,,Bacardi Reserva 8 50 ml,
Смузи Манго ,Смузи Манго ,,Смузи Манго,,Mango smoothie,
Смузи Клубника банан,Смузи Клубника-банан,,Смузи Құлпынай-банан,,Smoothie Strawberry-Banana,
"Bickens London Dry Gin (0,050)",Bickens London Dry Gin 50 мл,,Bickens London Dry Gin 50 мл,,Bickens London Dry Gin 50 ml,
"Bickens Pink Grapefruit (0,050)",Bickens Pink Grapefruit 50 мл,,Bickens Pink Grapefruit 50 мл,,Bickens Pink Grapefruit 50 ml,
"Beefeater Dry Gin (0,050)",Beefeater Dry Gin 50 мл,,Beefeater Dry Gin 50 мл,,Beefeater Dry Gin 50 ml,
Бельгийские вафли,Бельгийские вафли,,Бельгиялық вафли,,Belgian waffles,
Чизкейк испанский,Чизкейк испанский,,Испандық чизкейк,,Spanish cheesecake,
Медовик,Медовик,,Медовик,,Honey cake,
Дыня,Дыня,,Қарбыз,,Melon,
Наполеон,Наполеон,,Наполеон,,Napoleon,
Десерт Лукум ,Десерт Лукум ,,Лукум десерті,,Lokum dessert,
Чай персонал,Чай персонал,,Персоналды шай,,Personal tea,
Пицца с лососем и кремчиз,Пицца с лососем и кремчиз,,Лосось пен кремчизбен пицца,,Pizza with salmon and cream cheese,
Пицца Пепперони,Пицца Пепперони,,Пепперони пицца,,Pepperoni pizza,
Пицца с курицей и грибами,Пицца с курицей и грибами,,Тауық пен саңырауқұлақ қосылған пицца,,Pizza with chicken and mushrooms,
Пицца Маргарита,Пицца Маргарита,,Маргарита пицца,,Margherita pizza,
Сироп в ассортименте,Сироп в ассортименте,,Сироп ассорти,,Syrup assortment,
Имбирь,Имбирь,,Имбирь,,Ginger,
"Альтернативное молоко 0,2",Альтернативное молоко 200 мл,,Альтернативті сүт 200 мл,,Alternative milk 200 ml,
Лайм ,Лайм ,,Лайм,,Lime,
"Альтернативное молоко 0,3",Альтернативное молоко 300 мл,,Альтернативті сүт 300 мл,,Alternative milk 300 ml,
Молоко,Молоко,,Сүт,,Milk,
Лимон,Лимон,,Лимон,,Lemon,
Мед,Мед,,Бал,,Honey,
Мята ,Мята ,,Жүгері,,Mint,
Восточные сладости,Восточные сладости,,Шығыс тәттілері,,Eastern sweets,
Пивной сет,Пивной сет,,Сыра сеті,,Beer set,
Фруктовое ассорти,Фруктовое ассорти,,Жеміс ассорти,,Fruit assortment,
Креветки к пиву,Креветки к пиву,,Сырамен бірге креветкалар,,Shrimps with beer,
Чечевичный крем-суп,Чечевичный крем-суп,Нежный крем-суп из чечевицы с пряными специями и легкими сливочными нотками.,Жүгері крем-сүпы,"Нәзік крем-суп шекшіл бұршақпен, хош иісті дәмдеуіштермен және жеңіл кремді ноталармен.",Lentil cream soup,Delicate lentil cream soup with aromatic spices and subtle creamy notes.
Суп-лапша по-домашнему,Суп-лапша по-домашнему,"Домашний суп с куриным филе, лапшой и овощами, дополненный варёным яйцом и свежим укропом.",Үйдегі лапша сорпасы,"Үйдегі тауық еті, лапша және көкөністермен дайындалған сорпа, қайнатылған жұмыртқа мен жаңа аскөкпен толықтырылған.",Homemade noodle soup,"Homemade soup with chicken fillet, noodles, and vegetables, complemented by a boiled egg and fresh dill."
Борщ с телятиной,Борщ с телятиной,"Насыщенный борщ с телятиной, картофелем, капустой и свёклой, подаётся со сметаной.",Телятинамен борщ,"Қанық борщ телятинмен, картоппен, қырыққабатпен және қызылшамен, сметанамен ұсынылады.",Borscht with veal,"Rich borscht with veal, potatoes, cabbage, and beets, served with sour cream."
Рамен с телятиной,Рамен с телятиной,"Насыщенный бульон с телятиной, корейской лапшой, грибами и шпинатом, дополненный кунжутом и маринованным имбирем",Телятина рамені,"Қанық бульон телятинмен, корей лапшасымен, саңырауқұлақтармен және шпинатпен, кунжут және маринадталған имбирьмен толықтырылған.",Veal ramen,"Rich broth with veal, Korean noodles, mushrooms, and spinach, complemented by sesame and pickled ginger."
Чучвара узбекская,Чучвара узбекская,"Ароматный узбекский суп с сочными пельмешками, бульоном на мясе и свежей зеленью",Өзбек чучварасы,"Хош иісті өзбек сорпасы, шырынды пельмешкалармен, етті бульонмен және жаңа шөптермен.",Uzbek chuchvara,"Aromatic Uzbek soup with juicy dumplings, meat broth, and fresh herbs."
Уха по-Царский,Уха по-царски,"Ароматный рыбный бульон с лососем, судаком, овощами и свежей кинзой",Царский балық сорпасы,"Хош иісті балық бульоны лосось, судак, көкөністер және жаңа кориандрмен.",Royal fish soup,"Aromatic fish broth with salmon, pike-perch, vegetables, and fresh cilantro."
Наурыз коже,Наурыз коже,,Наурыз көже,,Nauryz kozhe,
Мастава с телятиной,Мастава с телятиной,"Сытная мастава с телятиной, рисом, овощами и ароматными специями.",Мастава телятинамен,"Тамақтануға лайық мастава телятинмен, күрішпен, көкөністермен және хош иісті дәмдеуіштермен.",Mastava with veal,"Hearty mastava with veal, rice, vegetables, and aromatic spices."
Шорпа из баранины,Шорпа из баранины,"Насыщенный бульон с нежной бараниной, овощами и ароматными специями, дополненный свежей зеленью",Баранина шорпасы,"Қанық бульон, жұмсақ қой етімен, көкөністермен және хош иісті дәмдеуіштермен, жаңа шөптермен толықтырылған.",Lamb shorba,"Rich broth with tender lamb, vegetables, and aromatic spices, complemented by fresh herbs."
Том ям с креветками,Том ям с креветками,"Пряный тайский суп на кокосовом молоке с креветками, грибами, черри и ароматной кинзой.",Том Ям креветкалармен,"Тай хош иісті сорпасы, кокос сүтімен, асшаяндармен, саңырауқұлақтармен, қызанақтармен және хош иісті кориандроммен.",Tom Yum with shrimp,"Spicy Thai soup with coconut milk, shrimp, mushrooms, cherry tomatoes, and fragrant cilantro."
Окрошка мясная,Окрошка мясная,,Етті окрошка,,Meat okroshka,
Нарын,Нарын,,Нарын,,Naryn,
Пельмени с бульоном ,Пельмени с бульоном ,"Нежные пельмени с сочной начинкой, подаются в ароматном бульоне с зеленью.",Пельмени бульонмен,"Нәзік пельмешкалар шырынды толтырғышпен, хош иісті бульонда және шөптермен ұсынылады.",Dumplings with broth,"Delicate dumplings with juicy filling, served in aromatic broth with herbs."
Сантанру,Сантанру,"Ароматное блюдо с телятиной, крахмальной лапшой, грибами и томатами, дополненное полугорьким перцем и пикантным соусом.",Сантанру,"Хош иісті тағам телятинмен, крахмалды лапшамен, саңырауқұлақтармен және қызанақтармен, жартылай ащы бұрышпен және дәмді соуспен толықтырылған.",Santanru,"Aromatic dish with veal, starch noodles, mushrooms, and tomatoes, complemented by semi-bitter pepper and a tangy sauce."
Рамен с курицей,Рамен с курицей,"Ароматный бульон с курицей, корейской лапшой, грибами и шпинатом, украшенный кунжутом и маринованным имбирем",Тауық рамені,"Хош иісті бульон тауық етімен, корей лапшасымен, саңырауқұлақтармен және шпинатпен, кунжут және маринадталған имбирьмен безендірілген.",Chicken ramen,"Aromatic broth with chicken, Korean noodles, mushrooms, and spinach, garnished with sesame and pickled ginger."
Мохора с бараниной,Мохора с бараниной,"Насыщенная мохора с бараниной, томатами, нутом и ароматными специями.",Мохора баранинамен,"Қанық мохора қой етімен, қызанақтармен, ноқатпен және хош иісті дәмдеуіштермен.",Mohora with lamb,"Rich mohora with lamb, tomatoes, chickpeas, and aromatic spices."
Дунганский острый суп,Дунганский острый суп,"Пряный дунганский суп с грибами, фрикадельками, тофу, фунчозой и остринкой полугорького перца",Дунган өткір сорпа,"Тай дунгандық сорпа саңырауқұлақтармен, фрикаделькалармен, тофумен, фунчозамен және жартылай ащы бұрышпен.",Dungan spicy soup,"Spicy Dungan soup with mushrooms, meatballs, tofu, cellophane noodles, and the heat of semi-bitter pepper."
Рамен с креветками,Рамен с креветками,"Пряный азиатский бульон с тигровыми креветками, корейской лапшой, грибами и шпинатом, дополненный кунжутом и маринованным имбирем.",Креветкалармен рамен,"Азиялық хош иісті бульон, асшаяндармен, корей лапшасымен, саңырауқұлақтармен және шпинатпен, кунжут және маринадталған имбирьмен толықтырылған.",Shrimp ramen,"Spicy Asian broth with tiger shrimp, Korean noodles, mushrooms, and spinach, complemented by sesame and pickled ginger."
"Krusovice светлое 0,480 Разливное",Krusovice светлое разливное 480 мл,,Krusovice ашық сыра 480 мл,,Krusovice light draft 480 ml,
"Weihenstephan Original Helles 0,480 Разливное",Weihenstephan Original Helles разливное 480 мл,,Weihenstephan Original Helles сырасы 480 мл,,Weihenstephan Original Helles draft 480 ml,
Пиво Heineken 0.5 Разливное,Пиво Heineken разливное 500 мл,,Heineken сырасы 500 мл,,Heineken draft beer 500 ml,
"Weihenstephan Original Helles 0,3 Разливное",Weihenstephan Original Helles разливное 300 мл,,Weihenstephan Original Helles сырасы 300 мл,,Weihenstephan Original Helles draft 300 ml,
Пиво Heineken 0.3 Разливное,Пиво Heineken разливное 300 мл,,Heineken сырасы 300 мл,,Heineken draft beer 300 ml,
"Krusovice светлое 0,3л Разливное",Krusovice светлое разливное 300 мл,,Krusovice ашық сыра 300 мл,,Krusovice light draft 300 ml,
Чесночный багет,Чесночный багет,,Чесночный багет,,Garlic baguette,
Крылышки в кисло-сладком соусе,Крылышки в кисло-сладком соусе,,Қышқыл-тәтті соусты қанаттар,,Wings in sweet and sour sauce,
Куриные палочки,Куриные палочки,,Тауық таяқшалары,,Chicken sticks,
Куриные крылышки BBQ,Куриные крылышки BBQ,,BBQ тауық қанаттары,,BBQ chicken wings,
Бургер из курицы,Бургер из курицы,,Тауық бургері,,Chicken burger,
Сырные шарики,Сырные шарики,,Ірімшік шариктері,,Cheese balls,
Бургер с телятиной,Бургер с телятиной,,Телятина бургері,,Veal burger,
Клаб сэндвич,Клаб сэндвич,,Клуб сэндвич,,Club sandwich,
Чечил ,Чечил ,,Чечил ірімшігі,,Cecil cheese,
Арахис ,Арахис ,,Жаңғақтар,,Peanuts,
Фисташки,Фисташки,,Фисташкалар,,Pistachios,
Campari ,Campari ,,Campari,,Campari,
Aperol ,Aperol ,,Aperol,,Aperol,
Wild Strawberry De Kuyper,Wild Strawberry De Kuyper,,Wild Strawberry De Kuyper,,Wild Strawberry De Kuyper,
Cynar ,Cynar ,,Cynar,,Cynar,
Grand Marnier ,Grand Marnier ,,Grand Marnier,,Grand Marnier,
Mango De Kuyper,Mango De Kuyper,,Mango De Kuyper,,Mango De Kuyper,
Villa Massa.Limoncello di Sorrento ,Villa Massa.Limoncello di Sorrento ,,Villa Massa Limoncello di Sorrento,,Villa Massa Limoncello di Sorrento,
Jagermeister,Jagermeister,,Jagermeister,,Jagermeister,
Sambuca Lazzaroni 1851 ,Sambuca Lazzaroni 1851 ,,Sambuca Lazzaroni 1851,,Sambuca Lazzaroni 1851,
Apricot De Kuyper,Apricot De Kuyper,,Apricot De Kuyper,,Apricot De Kuyper,
Grapefruit De Kuyper,Grapefruit De Kuyper,,Grapefruit De Kuyper,,Grapefruit De Kuyper,
Шоколад 1 шарик,Шоколад 1 шарик,,Шоколад 1 шарик,,Chocolate 1 scoop,
Ваниль 1 шарик,Ваниль 1 шарик,,Ваниль 1 шарик,,Vanilla 1 scoop,
Грибной крем-суп,Грибной крем-суп,,Грибной крем-суп,,Mushroom cream soup,
Клубника 1 шарик,Клубника 1 шарик,,Клубника 1 шарик,,Strawberry 1 scoop,
Фисташки 1 шарик,Фисташки 1 шарик,,Фисташки 1 шарик,,Pistachios 1 scoop,
Яйцо вареное ,Яйцо вареное ,,Қайнатылған жұмыртқа,,Boiled egg,
Соус сальса,Соус сальса,,Сальса соусы,,Salsa sauce,
Помидор 100гр ,Помидор 100 гр ,,Помидор 100 г,,Tomato 100 g,
Тост хлеб,Тост хлеб,,Тост наны,,Toast bread,
Квашенная капуста,Квашенная капуста,,Квашенная капуста,,Pickled cabbage,
Картофель,Картофель,,Картоп,,Potato,
Лук маринованный 50гр,Лук маринованный 50 гр,,Маринадталған пияз 50 г,,Marinated onion 50 g,
Морковь,Морковь,,Сәбіз,,Carrot,
Перец Халопенью,Перец Халопенью,,Халапеньо бұрышы,,Jalapeno pepper,
Соус сметана-базелик,Соус сметана-базелик,,Сметана-базилик соусы,,Sour cream-basil sauce,
Огурцы 100гр ,Огурцы 100 гр ,,Қияр 100 г,,Cucumber 100 g,
Жая,Жая,,Жая,,Lamb,
Глинтвейн Гранатовый Алко,Глинтвейн Гранатовый Алко,,Глинтвейн Гранатовый Алко,,Pomegranate Mulled Wine (Alco),
Mojito,Mojito,,Mojito,,Mojito,
Summer Spritz ,Summer Spritz ,,Summer Spritz,,Summer Spritz,
Whiskey Sour,Whiskey Sour,,Whiskey Sour,,Whiskey Sour,
Strawberry Royal,Strawberry Royal,,Strawberry Royal,,Strawberry Royal,
Глинтвейн вишневый Алко,Глинтвейн вишневый Алко,,Глинтвейн вишневый Алко,,Cherry Mulled Wine (Alco),
Bellini,Bellini,,Bellini,,Bellini,
