needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Милкшейк Персик Клубника,Милкшейк Персик Клубника,"Сочная комбинация персика и клубники, которая дарит нежный и фруктовый вкус в каждом глотке, создавая идеальный кремовый напиток для настоящих любителей сладких угощений.",Персик-Клубника милкшейкі,"Шабдалы мен құлпынайдың шырынды үйлесімі, әр жұтымда нәзік әрі жемісті дәм береді, тәтті тағамдарды жақсы көретіндер үшін мінсіз кремді сусын жасайды.",Peach Strawberry milkshake,"A juicy combination of peach and strawberry that gives a tender and fruity taste in every sip, creating the perfect creamy drink for those who love sweet treats."
Сок Pago 200 мл,Сок Pago 200 мл,Натуральный сок премиального качества,Pago шырыны 200 мл,Премиум сапалы табиғи шырын,Pago juice 200 ml,Premium quality natural juice
Айс-ти Вишня-персик 400 мл,Айс-ти Вишня-персик 400 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Айс-ти Вишня-Персик 400 мл,Шие мен шабдалының жидек- жеміс ноталарымен сергітетін салқын шай.,Iced tea Cherry-Peach 400 ml,Refreshing cold tea with berry-fruity notes of ripe cherries and juicy peaches.
Лимонад Базиликовый сад 400 мл,Лимонад Базиликовый сад 400 мл,,Базилик бағы лимонады 400 мл,,Basil Garden Lemonade 400 ml,
Лимонад Летняя ягода 400 мл,Лимонад Летняя ягода 400 мл,,Жазғы жидек лимонады 400 мл,,Summer Berry Lemonade 400 ml,
Тропический рай 900 мл,Тропический рай 900 мл,,Тропикалық жұмақ 900 мл,,Tropical Paradise 900 ml,
Милкшейк Груша Карамель,Милкшейк Груша Карамель,"Нежное сочетание сладкой груши и ароматной карамели, создающее кремовый и насыщенный напиток с уникальным фруктово-сладким вкусом.",Груша-Карамель милкшейкі,"Тәтті алмұрт пен хош иісті карамельдің нәзік үйлесімі, кремді және бай сусын жасайды, ерекше жеміс-тәтті дәмімен.",Pear Caramel milkshake,"A delicate combination of sweet pear and fragrant caramel, creating a creamy and rich drink with a unique fruity-sweet flavor."
Грейпфрутовый фреш,Грейпфрутовый фреш,Освежающий цитрусовый фреш с приятной кислинкой и лёгкой горчинкой.,Грейпфрут фреші,Дәмді қышқылдық пен жеңіл ащылығы бар сергітетін цитрустық фреш.,Grapefruit freshie,Refreshing citrus fresh with a pleasant tartness and light bitterness.
Милкшейк Гуанабана крим,Милкшейк Гуанабана крим,,Гуанабана-крем милкшейкі,,Guanabana Cream Milkshake,
Набеглави 500 мл,Набеглави 500 мл,Минеральная вода из природных источников Грузии.,Набеглави 500 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi 500 ml,Mineral water from natural sources in Georgia.
Айс ти классический 900 мл,Айс ти классический 900 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық айс ти 900 мл,"Классикалық салқын шай, бай дәмі мен жеңіл салқындығы бар.",Classic iced tea 900 ml,Classic cold tea with a rich taste and a light chill.
Тассай с газом 500 мл,Тассай с газом 500 мл,Натуральная питьевая вода для утоления жажды.,Газды Тассай 500 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay sparkling 500 ml,Natural drinking water to quench your thirst.
Лимонад Грушевый твист 400 мл,Лимонад Грушевый твист 400 мл,,Алмұрт твист лимонады 400 мл,,Pear Twist Lemonade 400 ml,
Лимонад Ягодный сорбет 900 мл,Лимонад Ягодный сорбет 900 мл,,Жидек сорбеті лимонады 900 мл,,Berry Sorbet Lemonade 900 ml,
Schweppes 450 мл,Schweppes 450 мл,Классический газированный напиток с освежающим вкусом.,Schweppes 450 мл,"Газдалған классикалық сусын, сергітетін дәмімен.",Schweppes 450 ml,Classic carbonated drink with a refreshing taste.
Лимонад Ягодный сорбет 400 мл,Лимонад Ягодный сорбет 400 мл,,Жидек сорбеті лимонады 400 мл,,Berry Sorbet Lemonade 400 ml,
Тассай без газа 500 мл,Тассай без газа 500 мл,Натуральная питьевая вода для утоления жажды.,Газсыз Тассай 500 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay still 500 ml,Natural drinking water to quench your thirst.
Айс-ти Вишня-персик 900 мл,Айс-ти Вишня-персик 900 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Айс-ти Вишня-Персик 900 мл,Шие мен шабдалының жидек-жеміс ноталарымен сергітетін салқын шай.,Iced tea Cherry-Peach 900 ml,Refreshing cold tea with berry-fruity notes of ripe cherries and juicy peaches.
Лимонад Вишневый вихрь 400 мл,Лимонад Вишневый вихрь 400 мл,,Шие құйыны лимонады 400 мл,,Cherry Whirlwind Lemonade 400 ml,
Лимонад Летняя ягода 900 мл,Лимонад Летняя ягода 900 мл,,Жазғы жидек лимонады 900 мл,,Summer Berry Lemonade 900 ml,
Red Bull 250 мл,Red Bull 250 мл,Энергетический напиток для бодрости и активного дня.,Red Bull 250 мл,"Қуаттандыратын сусын, сергектік пен белсенді күн үшін.",Red Bull 250 ml,Energy drink for energy and an active day.
Тассай с газом 250 мл,Тассай с газом 250 мл,Натуральная питьевая вода для утоления жажды.,Газды Тассай 250 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay sparkling 250 ml,Natural drinking water to quench your thirst.
Лимонад Вишневый вихрь 900 мл,Лимонад Вишневый вихрь 900 мл,,Шие құйыны лимонады 900 мл,,Cherry Whirlwind Lemonade 900 ml,
Зеленый смузи с киви и яблоком,Зеленый смузи с киви и яблоком,"Освежающий напиток с ярким вкусом киви и сочного яблока, который подарит заряд бодрости и свежести в каждый глоток.",Киви мен алма қосылған жасыл смузи,"Киви мен шырынды алманың жарқын дәмімен сергітетін сусын, әр жұтымда сергітуші әсер береді.",Green smoothie with kiwi and apple,"Refreshing drink with the bright taste of kiwi and juicy apple, giving a boost of vitality and freshness in every sip."
Лимонад Базиликовый сад 900 мл,Лимонад Базиликовый сад 900 мл,,Базилик бағы лимонады 900 мл,,Basil Garden Lemonade 900 ml,
Сок Pago 750 мл,Сок Pago 750 мл,Натуральный сок премиального качества,Pago шырыны 750 мл,Премиум сапалы табиғи шырын.,Pago Juice 750 ml,Premium-quality natural juice.
Сок Pago 1 л,Сок Pago 1 л,Натуральный сок премиального качества в компактной упаковке.,Pago шырыны 1 л,Ыңғайлы қаптамадағы премиум сапалы табиғи шырын.,Pago Juice 1 L,Premium-quality natural juice in compact packaging.
Лимонад Зеленый остров 900 мл,Лимонад Зеленый остров 900 мл,,Жасыл арал лимонады 900 мл,,Green Island Lemonade 900 ml,
Набеглави 200 мл,Набеглави 200 мл,Минеральная вода из природных источников Грузии.,Набеглави 200 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi 200 ml,Mineral water from natural sources in Georgia.
Лимонад Маракуйя-Гуанабана 900 мл,Лимонад Маракуйя-Гуанабана 900 мл,,Құмарқат-гуанабана лимонады 900 мл,,Passion Fruit-Guanabana Lemonade 900 ml,
Апельсиновый фреш,Апельсиновый фреш,"Натуральный свежевыжатый апельсиновый сок, насыщенный витаминами и солнечным вкусом.",Апельсин фреші,"Табиғи жаңа сығылған апельсин шырыны, дәрумендермен байытылған және күн сәулесінің дәмімен.",Orange freshie,"Natural freshly squeezed orange juice, rich in vitamins and sunny flavor."
Тропический рай 400 мл,Тропический рай 400 мл,,Тропикалық жұмақ 400 мл,,Tropical Paradise 400 ml,
Пита ливанская,Пита ливанская,Свежеиспеченная ливанская пита,Ливан питы,Жаңа пісірілген ливандық пита наны,Lebanese pita,Freshly baked Lebanese pita
Пицца цыпленок с грибами,Пицца цыпленок с грибами,Популярная пицца с копченой куриной грудкой и шампиньонами под тертым Пармезаном,Тауық еті мен саңырауқұлақтан жасалған пицца,"Қуырылған тауық еті мен саңырауқұлақтан жасалған танымал пицца, үстіне үгітілген пармезан себілген",Chicken and mushroom pizza,"Popular pizza with smoked chicken breast and mushrooms, topped with grated Parmesan"
Фокачча с розмарином,Фокачча с розмарином,Итальянская пшеничная лепешка с розмарином и томатами,Розмаринмен фокачча,"Итальяндық бидай наны, розмарин мен қызанақ қосылған",Focaccia with rosemary,Italian wheat flatbread with rosemary and tomatoes
Слоеная лепешка из печи,Слоеная лепешка из печи,,Пеште пісірілген көп қабатты лепешка,,Layered flatbread from the oven,
Хумус 90 гр,Хумус 90 гр,,Хумус 90 гр,,Hummus 90 g,
Борщ с казы,Борщ с казы,Наваристый борщ с казы из конины и чесночными пампушками,Қазы қосылған борщ,Нағыз борщ қазы қосылған және сарымсақ пампушкаларымен,Borscht with kazy,Hearty borscht with horsemeat kazy and garlic pampushkas
Солянка,Солянка,Густая солянка с копченой говядиной и курочкой,Солянка,Қою солянка ысталған сиыр еті мен тауық етінен,Solanka,Thick solyanka with smoked beef and chicken
Рамен с телятиной,Рамен с телятиной,"Насыщенный бульон с телятиной, корейской лапшой, грибами и шпинатом, дополненный кунжутом и маринованным имбирем",Телятина рамені,"Қанық бульон телятинмен, корей лапшасымен, саңырауқұлақтармен және шпинатпен, кунжут және маринадталған имбирьмен толықтырылған.",Veal ramen,"Rich broth with veal, Korean noodles, mushrooms, and spinach, complemented by sesame and pickled ginger."
Рамен с курицей,Рамен с курицей,"Ароматный бульон с курицей, корейской лапшой, грибами и шпинатом, украшенный кунжутом и маринованным имбирем",Тауық рамені,"Хош иісті бульон тауық етімен, корей лапшасымен, саңырауқұлақтармен және шпинатпен, кунжут және маринадталған имбирьмен безендірілген.",Chicken ramen,"Aromatic broth with chicken, Korean noodles, mushrooms, and spinach, garnished with sesame and pickled ginger."
Чечевичный суп,Чечевичный суп,Чечевичный суп с отварными овощами,Жаңғақ сорпасы,"Тамаққашық чечевица сорпасы, пісірілген көкөністермен",Lentil soup,Lentil soup with boiled vegetables
Том Ям с морепродуктами,Том Ям с морепродуктами,Пикантный Том Ям с морепродуктами,Том Ям теңіз өнімдерімен,Ащы Том Ям теңіз өнімдерімен,Tom Yum with seafood,Spicy Tom Yum with seafood
Куриный суп с лапшой,Куриный суп с лапшой,Нежный куриный суп с домашней лапшой,Тауық еті бар лапша сорпасы,Нәзік тауық сорпасы үйдегі лапшамен,Chicken noodle soup,Tender chicken soup with homemade noodles
Пенне Аррабиата,Пенне Аррабиата,Пенне под соусом из микса спелых томатов с базиликом,Пенне Аррабиата,"Пенне, пісірілген томаттар мен базиликпен соусты",Penne Arrabbiata,Penne with a sauce of ripe tomatoes and basil
Спагетти с тигровыми креветками,Спагетти с тигровыми креветками,Спагетти с сочными креветками в нежном томатно-сливочном соусе с каперсами и оливками.,Жолбарыс асшаян қосылған спагетти,"Томатты-қаймақты соусқа каперстер мен зәйтүндермен қоса, шырынды асшаяндармен дәмделген спагетти.",Spaghetti with Tiger Shrimp,Spaghetti with juicy shrimp in a delicate tomato-cream sauce with capers and olives.
Паста Фетучини,Паста Фетучини,Фетучини с обжаренной куриной грудкой и шампиньонами под тертым Пармезаном,Фетучини пастасы,"Қуырылған тауық еті мен саңырауқұлақтары бар фетучини, үгітілген пармезанмен толықтырылған",Fettuccine Pasta,"Fettuccine with sautéed chicken breast and mushrooms, topped with grated Parmesan"
Спагетти Болоньезе,Спагетти Болоньезе,Спагетти из твердых сортов пшеницы под соусом Болоньезе,Спагетти Болоньезе,Қатты бидай ұнынан жасалған спагетти Болоньезе тұздығымен.,Spaghetti Bolognese,Durum wheat spaghetti with Bolognese sauce.
Сэндвич с цыпленком,Сэндвич с цыпленком,,Тауық еті бар сэндвич,,Chicken Sandwich,
Бургер телятина,Бургер телятина,,Бұзау етінен бургер,,Veal Burger,
Ванильное мороженое (1 шарик),Ванильное мороженое (1 шарик),,Ванильді балмұздақ (1 шар),,Vanilla Ice Cream (1 scoop),
Фисташковое мороженое (1 шарик),Фисташковое мороженое (1 шарик),,Фисташкалы балмұздақ (1 шар),,Pistachio Ice Cream (1 scoop),
Клубничное мороженое (1 шарик),Клубничное мороженое (1 шарик),,Құлпынай балмұздағы (1 шар),,Strawberry Ice Cream (1 scoop),
Шоколадное мороженое (1 шарик),Шоколадное мороженое (1 шарик),,Шоколадты балмұздақ (1 шарик),,Chocolate Ice Cream (1 scoop),
Пицца Маргарита,Пицца Маргарита,"Маргарита с Моцареллой, свежим базиликом и тертым Пармезаном",Маргарита пиццасы,"Маргарита пиццасы, моцарелла, жаңа базилик және терілу пармезанмен",Margherita Pizza,"Margherita pizza with mozzarella, fresh basil, and grated Parmesan"
Пицца Пепперони,Пицца Пепперони,"Пицца с пикантными колбасками пепперони, соусом из спелых томатов и тянущейся моцареллой.",Пепперони пиццасы,"Пицца пикантты пепперони шұжықтары, піскен қызанақ соусы мен созылған моцарелла",Pepperoni pizza,"Pizza with spicy pepperoni sausages, ripe tomato sauce, and melting mozzarella"
Пицца Четыре сыра,Пицца Четыре сыра,Нежнейшая пицца с 4 разными видами сыра,Төрт ірімшік пиццасы,Төрт түрлі ірімшікпен нәзік пицца,Four Cheese Pizza,Delicate pizza with four different types of cheese
Пицца болоньезе,Пицца болоньезе,,Болоньезе пиццасы,,Bolognese Pizza,
Гранола с йогуртом и фруктами,Гранола с йогуртом и фруктами,Гранола со свежими ягодами и клубничным смузи. Украшается свежей мятой.,Йогурт пен жемістер қосылған гранола,Гранола жаңа жидектермен және клубника смузимен. Жаңа жалбызбен әшекейленген,Granola with yogurt and fruits,"Granola with fresh berries and strawberry smoothie, garnished with fresh mint"
Греческий йогурт с фруктами и ягодами,Греческий йогурт с фруктами и ягодами,Свежие фрукты и лесные ягоды под греческим йогуртом,,,,
Творожная запеканка с черной смородиной и мороженым,Творожная запеканка с черной смородиной и мороженым,,Қара қарақат пен балмұздақ қосылған сүзбелі запеканка,,Cottage cheese casserole with black currant and ice cream,
Бельгийские вафли с бананом,Бельгийские вафли с бананом,"Горячие вафли с ванильным мороженым, сливочным кремом, смородиновым джемом и бананом, украшенные карамельным соусом, сахарной пудрой и мятой.",Банан қосылған бельгиялық вафли,"Ванильді балмұздақ, кілегей, қарақат джемі және банан қосылған ыстық вафли, карамель соусымен, қант ұнтағымен және жалбызбен безендірілген",Belgian Waffles with Banana,"Hot waffles with vanilla ice cream, creamy whipped topping, blackcurrant jam, and banana, garnished with caramel sauce, powdered sugar, and mint"
Каша классическая,Каша классическая,,Классикалық ботқа,,Classic Porridge,
Английский завтрак,Английский завтрак,Сытный английский завтрак с говяжьими колбасками и миксом зелени,Англиялық таңғы ас,Тоқ жүретін ағылшын таңғы асы сиыр еті шұжығы мен жасыл шөп қоспасымен.,English Breakfast,Hearty English breakfast with beef sausages and a mix of greens.
Завтрак Seasons ,Завтрак Seasons ,"Запеканка,деревенский завтрак",Seasons таңғы асы,"Ас пісірмесі, ауылдық таңғы ас.",Seasons Breakfast,"Casserole, rustic breakfast."
Шакшука из спелых томатов,Шакшука из спелых томатов,,Шакшука піскен қызанақтан,,Shakshuka with Ripe Tomatoes,
Оливье с лососем,Оливье с лососем,Классический оливье со слабосоленым норвежским лососем и красной икрой,Лосось қосылған Оливье,Классикалық оливье Норвегиялық тұздалған лосось және қызыл уылдырықпен,Olivier salad with salmon,Classic Olivier salad with lightly salted Norwegian salmon and red caviar
Салат Патонг,Салат Патонг,"Карамелизированные баклажаны со свежими томатами под азиатским соусом, украшенные кинзой и кунжутными семечками",Патонг салаты,"Карамельденген баклажандар жаңа қызанақтармен, азиялық соустың астында, кориандр мен кунжіт тұқымдарымен безендірілген",Patong Salad,"Caramelized eggplant with fresh tomatoes under an Asian sauce, garnished with cilantro and sesame seeds"
Теплый салат с кониной,Теплый салат с кониной,Сытный салат с обжаренной кониной и зеленью,Жылы салат аттан етінен,Тойымды салат қуырылған қазы мен көкөністермен,Warm salad with horse meat,Hearty salad with fried horse meat and greens
Чайла цезарь с курицей,Чайла цезарь с курицей,"Цезарь с куриным филе, приготовленный на гриле, томатами конфи и слайсами ремесленного хлеба",Тауық еті қосылған Чайла Цезарь салаты,"Грильде дайындалған тауық филесі, томат конфі және қолөнер нанынан жасалған слайстар қосылған Цезарь салаты.",Chayla Caesar salad with chicken.,"Caesar salad with grilled chicken fillet, confit tomatoes, and artisan bread slices."
Ассам Меленг 900 мл,Ассам Меленг 900 мл,"Чёрный чай с глубоким, насыщенным вкусом и лёгкой терпкостью.",Ассам Меленг 900 мл,"Қара шай терең, бай дәмі мен жеңіл ащылығымен",Assam Melenge tea 900 ml,"Black tea with a deep, rich flavor and a slight bitterness"
Чай Осенняя пряность 400 мл,Чай Осенняя пряность 400 мл,,Күзгі дәмдеуіш шайы 400 мл,,Autumn Spice Tea 400 ml,
Чай Ягодный сад 400 мл,Чай Ягодный сад 400 мл,,Жидекті бақ шайы 400 мл,,Berry Garden Tea 400 ml,
Чай листовой Ройбуш ваниль-карамель 400 мл,Чай листовой Ройбуш ваниль-карамель 400 мл,Благородный ройбуш с мягкими сливочно-карамельными оттенками.,Ройбуш ваниль-карамель жапырақты шайы 400 мл,"Мәртебелі ройбуш, жұмсақ қаймақ-карамель ноталарымен",Rooibos Vanilla-Caramel Loose Leaf Tea 400 ml,Noble rooibos with soft creamy-caramel notes
Чай Облепиха-Груша 900 мл,Чай Облепиха-Груша 900 мл,,Облепиха-алма шайы 900 мл,,Sea Buckthorn-Pear Tea 900 ml,
Americano lychee 400 мл,Americano lychee 400 мл,,Americano lychee 400 мл,,Americano Lychee 400 ml,
Чай Ташкентский 900 мл,Чай Ташкентский 900 мл,"Ароматный чай с нотами зелёного чая, цитрусов и восточных специй.",Ташкент шайы 900 мл,"Хош иісті шай жасыл шай, цитрустар мен шығыс дәмдеуіштері ноталарымен",Tashkent Tea 900 ml,"Aromatic tea with notes of green tea, citrus, and oriental spices"
