needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
тест бар,тест бар,,Бар сынамасы,,Bar dough test,
тест кальян,тест кальян,,Кальян сынамасы,,Shisha dough test,
АЙВА-ПЕРСИК-ЙОГУРТ Милкшейк*,Айва-персик-йогурт,,Айва-шабдалы-йогурт,,Quince-peach-yogurt,
МАРАКУЙЯ - МАНГО Милкшейк*,Маракуйя-манго,,Маракуйя-манго,,Passion fruit-mango,
ПЕРСИК-БАНАН Милкшейк,Персик-банан,,Шабдалы-банан,,Peach-banana,
BEEFEATER PINK STRAWBERRY,BEEFEATER PINK STRAWBERRY,,BEEFEATER Қызғылт Құлпынай,,BEEFEATER Pink Strawberry,
BEEFEATER,BEEFEATER,,BEEFEATER,,BEEFEATER,
BEEFEATER BLOOD ORANGE,BEEFEATER BLOOD ORANGE,,BEEFEATER Қанды Апельсин,,BEEFEATER Blood Orange,
Тартин,Тартин,,Тартин,,Tartine,
Чиабатта,Чиабатта,,Чиабатта,,Ciabatta,
Бриошь,Бриошь,,Бриош,,Brioche,
Багет,Багет,,Багет,,Baguette,
Греческая лепешка,Греческая лепешка,,Грек шелпегі,,Greek flatbread,
ЛАТТЕ ИМБИРНЫЙ ПРЯНИК* ,Латте Имбирный пряник,,Зімбірлі пряниктен латте,,Gingerbread latte,
ЛАТТЕ «ИРЛАНДСКИЕ СЛИВКИ»*,Латте Ирландские сливки,,Ирландиялық қаймақ қосылған латте,,Irish cream latte,
ЛАТТЕ СИНГАПУРСКИЙ* ,Латте Сингапур,,Сингапур латтесі,,Singapore latte,
ЛАТТЕ РОЗОВЫЙ*,Латте Розовый,,Қызғылт латте,,Pink latte,
JAMESON ORIGINAL,JAMESON ORIGINAL,,JAMESON ORIGINAL,,JAMESON ORIGINAL,
THE GLENLIVET 12YO,THE GLENLIVET 12YO,,THE GLENLIVET 12 жыл,,THE GLENLIVET 12YO,
CHIVAS REGAL 12YO,CHIVAS REGAL 12YO,,CHIVAS REGAL 12 жыл,,CHIVAS REGAL 12YO,
ABSOLUT BLUE,ABSOLUT BLUE,,ABSOLUT BLUE,,ABSOLUT BLUE,
Одноразовая посуда,Одноразовая посуда,,Бір реттік ыдыс-аяқ,,Disposable tableware,
Бой колбы,Бой колбы,,Құмыра сынды,,Broken flask,
Бой посуды,Бой посуды,,Ыдыс сынуы,,Broken tableware,
Томатный суп со страчателлой ,Томатный суп со страчателлой ,Томатный суп с судаком и сыром мини-Гальбани.,Томатты суп страчателламен,Судак пен мини-Гальбани ірімшігі қосылған томатты суп,Tomato soup with stracciatella,Tomato soup with pike-perch and mini-Galbani cheese
Крем-суп грибной ,Крем-суп грибной ,"Нежный крем-суп с шампиньонами, молоком и трюфельным маслом",Крем-суп саңырауқұлақтан,"Шампиньондар, сүт және трюфель майымен дайындалған нәзік крем-суп",Mushroom cream soup,"Delicate cream soup with champignons, milk, and truffle oil"
Том-ям с морепродуктами ,Том-ям с морепродуктами ,"Острый суп с морепродуктами, шампиньонами и кинзой",Том-ям теңіз өнімдерімен,"Теңіз өнімдері, шампиньондар және кориандр қосылған ащы суп",Tom yum with seafood,"Spicy soup with seafood, champignons, and cilantro"
Куриный суп с пельменями,Куриный суп с пельменями,Нежный куриный бульон с пельменями и зеленью,Тауық етімен пельмені бар суп,"Тауық еті бульоны, пельмендер және шөптер қосылған нәзік бульон",Chicken soup with dumplings,Tender chicken broth with dumplings and herbs
Борщ ,Борщ с багетом,"Насыщенный борщ с говядиной, картофелем, сметаной и багетом.",Борщ багетпен,"Говядина, картоп, сметана және багетпен дайындалған қоректік борщ",Borscht with baguette,"Hearty borscht with beef, potatoes, sour cream, and baguette"
Говяжий суп,Говяжий суп с овощами,"Насыщенный суп с тушёной говядиной, картофелем и морковью",Сиыр етінен жасалған көкөніс қосылған суп,"Тауық еті, картоп және сәбіз қосылған бай суп",Beef soup with vegetables,"Rich soup with stewed beef, potatoes, and carrots"
Замена 4000,Замена 4000,,Орнына 4000,,Substitution 4000,
Кальян,Кальян,,Кальян,,Shisha,
Пицца Маргарита ,Пицца Маргарита ,"Классическая пицца Маргарита с соусом из спелых томатов, моцареллой и свежим базиликом.",Маргарита пиццасы,"Классикалық Маргарита пиццасы, піскен томат соусымен, моцарелла және жаңа базиликпен",Margherita pizza,"Classic Margherita pizza with ripe tomato sauce, mozzarella, and fresh basil"
Пицца Пепперони,Пицца Пепперони,"Пицца с пикантными колбасками пепперони, соусом из спелых томатов и тянущейся моцареллой.",Пепперони пиццасы,"Пепперони колбасасы бар пицца, піскен томат соусымен және мол моцарелла",Pepperoni pizza,"Pizza with spicy pepperoni sausages, ripe tomato sauce, and melted mozzarella"
Пицца с морепродуктами ,Пицца с морепродуктами ,"Пицца с морепродуктами, соусом из спелых томатов, моцареллой и ароматными травами.",Теңіз өнімдері бар пицца,"Теңіз өнімдері бар пицца, піскен томат соусымен, моцарелла және хош иісті шөптермен",Seafood pizza,"Seafood pizza with ripe tomato sauce, mozzarella, and aromatic herbs"
Пицца с ростбифом и соусом тонато,Пицца с ростбифом,"Пицца с ростбифом, томатным соусом, моцареллой и свежей зеленью",Ростбиф пиццасы,"Ростбиф пиццасы, томат соусымен, моцарелла және жаңа шөптермен",Roast beef pizza,"Roast beef pizza with tomato sauce, mozzarella, and fresh herbs"
Пицца Альфредо,Пицца Альфредо,"Пицца Альфредо с нежным сливочным соусом, курицей, грибами и тянущейся моцареллой.",Альфредо пиццасы,"Альфредо пиццасы, нәзік кремді соусымен, тауық етімен, саңырауқұлақтармен және мол моцарелла",Alfredo pizza,"Alfredo pizza with creamy sauce, chicken, mushrooms, and melted mozzarella"
Пицца Кватро Формаджио,Пицца Кватро Формаджио,"Пицца Кватро Формаджи с насыщенным вкусом четырёх сыров: моцареллы, горгондзолы, пармезана и эмменталя",Кватро Формаджио пиццасы,"Кватро Формаджи пиццасы, төрт ірімшіктің бай дәмімен: моцарелла, горгондзола, пармезан және эмменталь",Quattro Formaggi pizza,"Quattro Formaggi pizza with a rich flavor of four cheeses: mozzarella, gorgonzola, parmesan, and emmental"
Брускетта с лососем ,Брускетта с лососем ,"Ароматный хлеб с гравлаксом, авокадо, томатами и креметой, под соусом песто.",Лосось қосылған брускетта,"Гравлакс, авокадо, қызанақ және креметамен хош иісті нан, песто соусымен",Salmon bruschetta,"Fragrant bread with gravlax, avocado, tomatoes, and cream cheese, topped with pesto sauce"
Сэндвич с индейкой,Сэндвич с индейкой,"Сэндвич с индейкой, свежими овощами и соусом",Үнді етімен сэндвич,"Үнді еті, жаңа көкөністер және соус қосылған сэндвич",Turkey sandwich,Turkey sandwich with fresh vegetables and sauce
Сэндвич кацу-сандо ,Сэндвич кацу-сандо ,"Хрустящий сэндвич с панированным куриным бедром, соусами тонкацу и айоли.",Кацудо сэндвичі,"Қуырып панировкаға түскен тауық жамбасы, тонкацу соусы мен айоли қосылған қытырлақ сэндвич",Katsu sando sandwich,"Crispy sandwich with breaded chicken thigh, tonkatsu sauce, and aioli"
Брускетта с гуакамоле,Брускетта с гуакамоле,"Хрустящий хлеб с авокадо, яйцом, оливками, пармезаном и зеленью.",Гуакамоле қосылған брускетта,"Авокадо, жұмыртқа, зәйтүн, пармезан және шөптермен қытырлақ нан",Guacamole bruschetta,"Crispy bread with avocado, egg, olives, parmesan, and herbs"
Брускетта со страчателлой,Брускетта со страчателлой,"Тост с соусом песто, страчателлой, авокадо и томатами черри",Страчателла қосылған брускетта,"Песто соусы, страчателла, авокадо және шие қызанақтарымен тост",Stracciatella bruschetta,"Toast with pesto sauce, stracciatella, avocado, and cherry tomatoes"
Сэндвич  с лососем ,Сэндвич с лососем ,"Сэндвич с лососем, хрустящими овощами и ароматным соусом",Лосось қосылған сэндвич,"Лосось, қытырлақ көкөністер және хош иісті соус қосылған сэндвич",Salmon sandwich,Salmon sandwich with crispy vegetables and aromatic sauce
Дикая Вишня 900 гр Чай,Дикая вишня,,Жабайы вишня,,Wild Cherry,
Сенча Сенпай 900 гр Чай,Сенча Сенпай,,Сенча Сенпай,,Sencha Senpai,
Молочный Улун 900 гр Чай,Молочный Улун,,Сүтті Улун,,Milk Oolong,
Империал Эрл Грей 900 гр Чай,Империал Эрл Грей ,,Империал Эрл Грей,,Imperial Earl Grey,
Ассам Меленг 900 гр Чай,Ассам Меленг ,,Ассам Меленг,,Assam Melange,
Жасмин Тинг Юань 900 гр Чай,Жасмин Тинг Юань,,Жасмин Тинг Юань,,Jasmine Ting Yuan,
Ройбуш Ваниль-Карамель 900 гр Чай,Ройбуш Ваниль-Карамель,,Ройбуш Ваниль-Карамель,,Rooibos Vanilla-Caramel,
Горные Травы 900 гр Чай,Горные Травы,,Таулы шөптер,,Mountain Herbs,
Heineken разливное 480 мл,Heineken разливное 480 мл,,Heineken құйма 480 мл,,Heineken draft 480 ml,
Heineken разливное 330 мл,Heineken разливное 330 мл,,Heineken құйма 330 мл,,Heineken draft 330 ml,
Вареники со страчателлой,Вареники со страчателлой,"Изысканные вареники со страчателлой, вишневым вареньем и свежей зеленью.",Страчателламен варениктер,"Страчателла, вишня джемі және жаңа көктермен дәмделген нәзік варениктер.",Vareniki with stracciatella,"Exquisite dumplings with stracciatella, cherry jam, and fresh herbs."
Сырники с черничным вареньем ,Сырники с черничным вареньем ,Пушистые сырники с черничным вареньем и свежим йогуртом.,Қарақат джемімен сырниктер,Жұмсақ сүзбе құймақтары көкжидек джемі және жаңа йогуртпен.,Cottage cheese pancakes with blueberry jam,Fluffy cheesecakes with blueberry jam and fresh yogurt.
Блины с апельсином ,Блины с апельсином ,"Воздушные панкейки с варёной сгущёнкой, клубникой, бананом и мятой.",Апельсинмен блины,"Ауыр тәтті палаушалар қайнатылған қоюланған сүтпен, құлпынаймен, бананмен және жалбызбен.",Pancakes with orange,"Airy pancakes with boiled condensed milk, strawberries, bananas, and mint."
Панкейки с бананом и клубникой ,Панкейки с бананом и клубникой ,"Воздушные панкейки с варёной сгущёнкой, клубникой, бананом и мятой.",Банан мен клубникамен панкейки,"Ауыр тәтті палаушалар қайнатылған қоюланған сүтпен, құлпынаймен, бананмен және жалбызбен.",Pancakes with banana and strawberry,"Airy pancakes with boiled condensed milk, strawberries, bananas, and mint."
Сибас в соусе аква пацца ,Сибас аквапацца,"Нежная рыба с каперсами, маслинами, томатами черри и зелёным маслом",Сибас аквапацца,"Каперстермен, зәйтүндермен, қызанақтармен және жасыл маймен пісірілген нәзік балық.",Sea bass aquapazza,"Tender fish with capers, olives, cherry tomatoes, and green butter."
Колбаски с домашним картофелем ,Колбаски с домашним картофелем ,,Үй картобымен шұжықтар,,Sausages with homemade potatoes,
Стейк лосося с гуакамолле,Стейк лосося с гуакамолле,,Гуакамоллемен лосось стейкі,,Salmon steak with guacamole,
Медальоны с картофельным гратеном,Медальоны с картофельным гратеном,Медальоны с картофельным гратеном в сливочном соусе,Картопты gratinмен медальондар,Қаймақты соусты картоп гратенімен медальондар.,Medallions with potato gratin,Medallions with potato gratin in creamy sauce.
Цыпленок с муссом из пармезана,Цыпленок с муссом из пармезана,Куриное филе с нежным муссом из пармезана и брокколи,Пармезан муссымен тауық,Қарапайым пармезан муссымен және брокколи бар тауық филесі.,Chicken with parmesan mousse,Chicken fillet with delicate parmesan mousse and broccoli.
Дорадо с томатами конкассе ,Дорадо с томатами конкассе ,Куриное филе с нежным муссом из пармезана и брокколи,Томаттармен дорада,Қарапайым пармезан муссымен және брокколи бар тауық филесі.,Dorado with concasse tomatoes,Chicken fillet with delicate parmesan mousse and broccoli.
Стейк рибай с перечным соусом ,Стейк рибай с перечным соусом ,Сочный стейк с перечным соусом и хрустящим картофелем пай,Перечный соуспен рибай стейкі,Шашлық пен бұрыш соусымен және қытырлақ картоп паймен шырынды стейк.,Ribeye steak with pepper sauce,Juicy steak with pepper sauce and crispy potato pie.
ГЛИНТВЕЙН КРАСНЫЙ ВИНОГРАД Б/А*,Красный виноград б/а,,Қызыл жүзім б/а,,Red grapes non-alcoholic,
ГЛИНТВЕЙН АПЕЛЬСИНОВО-ИМБИРНЫЙ Б/А*,Апельсин-имбирный б/а,,Апельсин-имбирь б/а,,Orange-ginger non-alcoholic,
ГЛИНТВЕЙН ГРАНАТОВЫЙ АЛКО* ,Гранатовый,,Гранат,,Pomegranate,
ГЛИНТВЕЙН АЛКО*,Классический,,Классикалық,,Classic,
Флэт уайт,Флэт уайт,,Флэт уайт,,Flat White,
Эспрессо DOUBLE,Эспрессо двойной,,Эспрессо қосарлы,,Double Espresso,
Капучино 300мл,Капучино 300 мл,,Капучино 300 мл,,Cappuccino 300 ml,
Латте,Латте,,Латте,,Latte,
Капучино 150мл,Капучино 150 мл,,Капучино 150 мл,,Cappuccino 150 ml,
Эспрессо,Эспрессо,,Эспрессо,,Espresso,
Американо 150 мл,Американо 150 мл,,Американо 150 мл,,Americano 150 ml,
Американо 250 мл,Американо 250 мл,,Американо 250 мл,,Americano 250 ml,
Облепиха-айва ,Облепиха-айва ,,Облепиха-айва,,Sea buckthorn-quince,
Имбирь -клюква ,Имбирь -клюква ,,Имбирь-құлпынай,,Ginger-cranberry,
Груша-малина ,Груша-малина ,,Некенің шарабы,,Pear-raspberry,
Мароканский,Мароканский,,Мароккалық,,Moroccan,
Вишня-амаретто ,Вишня-амаретто ,,Вишня-амаретто,,Cherry-amaretto,
Красная смородина-клюква ,Красная смородина-клюква ,,Қызыл қарақат-құлпынай,,Red currant-cranberry,
Ташкентский,Ташкентский,,Ташкенттік,,Tashkent,
OLMECA ALTOS PLATA,OLMECA ALTOS PLATA,,OLMECA ALTOS PLATA,,OLMECA ALTOS PLATA,
ВИШНЯ-ЛАВАНДА-ЛАЙМ 400 гр*,Вишня-лаванда-лайм,,Вишня-лаванда-лайм,,Cherry-lavender-lime,
Лимонад КЛЮКВА-ГРУША-ЛАЙМ 400 гр*,Клюква-груша-лайм,,Құлпынай-груша-лайм,,Cranberry-pear-lime,
АЙС ТИ ЖАСМИН-ЛИМОН АЙС-ТИ 400 гр,Айс-ти жасмин-лимон,,Айс-ти жасмин-лимон,,Iced tea jasmine-lemon,
АЙС ТИ ПЕРСИК-МАНГО 400 гр,Айс-ти персик-манго,,Айс-ти персик-манго,,Iced tea peach-mango,
Лимонад КРАСНАЯ СМОРОДИНА - КЛУБНИКА 400 гр*,Смородина - клубника,,Смородина-клубника,,Blackcurrant-strawberry,
Лимонад АЙВА-БУЗИНА 400 гр*,Айва-бузина,,Айва-бузина,,Quince-elderberry,
Лимонад БЕРГАМОТ-БЕЛЫЙ ПЕРСИК 400 гр*,Бергамот - белый персик,,Бергамот-белый персик,,Bergamot-white peach,
*Fanta 250 мл,Fanta 250 мл,,Fanta 250 мл,,Fanta 250 ml,
*Schweppes,Schweppes,,Schweppes,,Schweppes,
*Tassay Exellent 750мл,Tassay Exellent 750 мл,,Tassay Exellent 750 мл,,Tassay Exellent 750 ml,
*Coca cola 250 мл ,Coca cola 250 мл ,,Coca cola 250 мл,,Coca-Cola 250 ml,
*Набеглави 500мл,Набеглави 500 мл,,Набеглави 500 мл,,Nabeglavi 500 ml,
*Вода Ифтар,Вода Ифтар,,Ифтар суы,,Iftar water,
*Coca cola zero 250 мл ,Coca Cola Zero 250 мл ,,Coca Cola Zero 250 мл,,Coca-Cola Zero 250 ml,
*Pago 200мл ,Pago 200 мл ,,Pago 200 мл,,Pago 200 ml,
*Tassay Emerald 750мл,Tassay Emerald 750 мл,,Tassay Emerald 750 мл,,Tassay Emerald 750 ml,
*Набеглави 200мл ,Набеглави 200 мл ,,Набеглави 200 мл,,Nabeglavi 200 ml,
*Tassay 500мл,Tassay 500 мл,,Tassay 500 мл,,Tassay 500 ml,
*Tassay 250мл,Tassay 250 мл,,Tassay 250 мл,,Tassay 250 ml,
*Red Bull,Red Bull,,Red Bull,,Red Bull,
*Sprite 250 мл,Sprite 250 мл,,Sprite 250 мл,,Sprite 250 ml,
BUMBU ORIGINAL,Bumbu Original,,Bumbu Original,,Bumbu Original,
HAVANA CLUB 3YO,Havana Club 3 yo,,Havana Club 3 жылдық,,Havana Club 3 yo,
Дикая Вишня 400 гр Чай,Дикая Вишня,,Жабайы вишня,,Wild Cherry,
Империал Эрл Грей 400 гр Чай,Империал Эрл Грей,,Империал Эрл Грей,,Imperial Earl Grey,
Ройбуш Ваниль-Карамель 400 гр Чай,Ройбуш Ваниль-Карамель,,Ройбуш Ваниль-Карамель,,Rooibos Vanilla-Caramel,
Молочный Улун 400 гр Чай,Молочный Улун,,Сүтті Улун,,Milk Oolong,
Жасмин Тинг Юань 400 гр Чай,Жасмин Тинг Юань,,Жасмин Тинг Юань,,Jasmine Ting Yuan,
Сенча Сенпай 400 гр Чай,Сенча Сенпай,,Сенча Сенпай,,Sencha Senpai,
Горные Травы 400 гр Чай,Горные Травы,,Таулы шөптер,,Mountain Herbs,
Ассам Меленг 400 гр Чай,Ассам Меленг,,Ассам Меленг,,Assam Melange,
"Max & Jacks 0,4л манго/вишня ",Max & Jacks 400 мл манго / вишня ,,Max & Jacks 400 мл манго / вишня,,Max & Jacks 400 ml mango/cherry,
Heineken 0.0 Б/А 0.33 БУТ,Heineken 0.0 б/а 330 мл,,Heineken 0.0 б/а 330 мл,,Heineken 0.0 non-alcoholic 330 ml,
Weihenstepfane hefe Weissbier 0.5л ,Weihenstepfane hefe Weissbier 500 мл,,Weihenstepfane hefe Weissbier 500 мл,,Weihenstepfane Hefe Weissbier 500 ml,
"Heineken 0,33 бут",Heineken 330 мл,,Heineken 330 мл,,Heineken 330 ml,
"Guinness micro draft 0,44л БУТ",Guinness micro draft 440 мл,,Guinness микродрафт 440 мл,,Guinness micro draft 440 ml,
Цезарь с курицей,Цезарь с курицей,"Классический салат с курицей, хрустящими листьями, черри, пармезаном и соусом Цезарь.",Цезарь тауықпен,"Классикалық салат тауық етімен, қытырлақ жапырақтармен, черри қызанақтарымен, пармезанмен және цезарь соусымен.",Chicken Caesar,"Classic salad with chicken, crispy leaves, cherry tomatoes, Parmesan, and Caesar dressing."
Поке с лососем,Поке с лососем,"Свежий рис с лососем, авокадо, чуккой, ананасом и ореховой заправкой.",Лососьпен поке,"Жаңа күріш лососьпен, авокадо, чуккамен, ананаспен және жаңғақ тұздығымен.",Poke with salmon,"Fresh rice with salmon, avocado, chuka, pineapple, and nut dressing."
Цезарь с креветками,Цезарь с креветками,"Классический салат «Цезарь» с маринованными креветками, хрустящими сухариками и пармезаном.",Креветкалы Цезарь,"Классикалық Цезарь салаты маринадталған креветкалармен, қытырлақ нан үгінділері мен пармезанмен.",Caesar with shrimp,"Classic Caesar salad with marinated shrimp, crispy croutons, and Parmesan."
Сырная тарелка,Сырная тарелка,"Сырное ассорти с мёдом, орехами и виноградом – идеальное дополнение к вину.",Сырлы табақ,"Сыр ассортиі балмен, жаңғақтармен және жүзіммен – шарапқа мінсіз қосымша.",Cheese platter,"Cheese assortment with honey, nuts, and grapes – a perfect wine complement."
Нежный салат с креветками,Салат с креветками и авокадо,"Свежий салат с креветками, авокадо, томатами черри и пармезаном.",Креветкалар мен авокадо салаты,"Жаңа салат креветкалармен, авокадо, шие помидорларымен және пармезанмен.",Salad with shrimp and avocado,"Fresh salad with shrimp, avocado, cherry tomatoes, and Parmesan."
Оливье с индейкой,Оливье с индейкой,"Классический салат с картофелем, морковью, яйцом, горошком и индейкой.",Индейкамен Оливье,"Классикалық салат картоппен, сәбізбен, жұмыртқамен, жасымықпен және индейкамен.",Olivier with turkey,"Classic salad with potatoes, carrots, eggs, peas, and turkey."
Нисуаз с лососем и соусом тонато,Нисуаз с лососем,"Салат с лососем, картофелем, яйцом, шпинатом и оливками в горчичном соусе",Лососьпен Нисуаз,"Салат лососьпен, картоппен, жұмыртқамен, шпинатпен және зәйтүнмен қыша соусында.",Niçoise with salmon,"Salad with salmon, potatoes, eggs, spinach, and olives in mustard dressing."
Салат с томатами и бураттой,Буратта с томатами,"Буратта с рукколой, томатами черри, песто и гуакамоле.",Буррата мен помидорлар,"Буррата рукколамен, шие помидорларымен, песто мен гуакамолемен.",Burrata with tomatoes,"Burrata with arugula, cherry tomatoes, pesto, and guacamole."
Оливье с ветчиной,Оливье с ветчиной,"Классический салат с картофелем, морковью, яйцом, горошком и ветчиной.",Шұжықпен Оливье,"Классикалық салат картоппен, сәбізбен, жұмыртқамен, жасымықпен және ветчинмен.",Olivier with ham,"Classic salad with potatoes, carrots, eggs, peas, and ham."
PASSION FRUIT SPRITZ,PASSION FRUIT SPRITZ,,PASSION FRUIT SPRITZ,,PASSION FRUIT SPRITZ,
CHERRY SPRITZ ,CHERRY SPRITZ ,,CHERRY SPRITZ,,CHERRY SPRITZ,
Aperol Spritz ,Aperol Spritz ,,Aperol Spritz,,Aperol Spritz,
GUAVA SPRITZ ,GUAVA SPRITZ ,,GUAVA SPRITZ,,GUAVA SPRITZ,
Гедза с креветками,Гедза с креветками,Японские пельмени с креветками и соусами,Шрэмптермен гёза,Жапон пельмешелері креветкалармен және соустармен.,Gyoza with shrimp,Japanese dumplings with shrimp and sauces.
Казаречче с томатным соусом и страчателлой,Казаречче со страчателлой,Паста с томатным соусом и сыром страчателла,Страчателла қосылған казаречче,Томат соусымен және страчателла сырымен паста.,Cazarecce with stracciatella,Pasta with tomato sauce and stracciatella cheese.
Тальолини болоньезе,Тальятелле Болоньезе,Паста болоньезе с соусом из говядины и томатов,Тальятелле Болоньезе,Болоньезе пастасы сиыр еті мен томат соусымен.,Tagliatelle Bolognese,Bolognese pasta with beef and tomato sauce.
