needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Сырная тарелка,Сырная тарелка,,Ірімшік тағамы,,Cheese Platter,
Суп чечевичный,Чечевичный суп,Чечевичный суп с отварными овощами,Көк бұршақ сорпасы,Қайнатылған көкөністер қосылған жасымық сорпасы.,Lentil Soup,Lentil soup with boiled vegetables.
Стейк Рибай,Стейк Рибай,Сочный стейк из мраморной говядины зернового откорма с соусом на выбор,Рибай стейкі,"Дәнмен қоректенген мәрмәр сиыр етінен жасалған шырынды стейк, таңдауыңызға қарай тұздықпен.",Ribeye Steak,Juicy grain-fed marbled beef steak with a sauce of your choice.
Стейк из лосося,Лосось на гриле,Нежнейший стейк норвежского лосося на гриле с миксом свежей зелени,Грильде пісірілген лосось,Грильде дайындалған нәзік норвегиялық лосось стейкі жаңа піскен көкпен.,Grilled Salmon,Tender grilled Norwegian salmon steak with a mix of fresh greens.
Спагетти с тигровыми креветками,Спагетти с тигровыми креветками,,Жолбарыс асшаян қосылған спагетти,,Spaghetti with Tiger Shrimp,
Спагетти болоньезе,Спагетти Болоньезе,Спагетти из твердых сортов пшеницы под соусом Болоньезе,Спагетти Болоньезе,Қатты бидай ұнынан жасалған спагетти Болоньезе тұздығымен.,Spaghetti Bolognese,Durum wheat spaghetti with Bolognese sauce.
Сок Pago 1л,Сок Pago 1 л,Натуральный сок премиального качества в компактной упаковке.,Pago шырыны 1 л,Ыңғайлы қаптамадағы премиум сапалы табиғи шырын.,Pago Juice 1 L,Premium-quality natural juice in compact packaging.
"Сок Pago 0,750",Сок Pago 750 мл,Натуральный сок премиального качества,Pago шырыны 750 мл,Премиум сапалы табиғи шырын.,Pago Juice 750 ml,Premium-quality natural juice.
"Сок Pago 0,200",Сок Pago 200 мл,Натуральный сок премиального качества,Pago шырыны 200 мл,Премиум сапалы табиғи шырын.,Pago Juice 200 ml,Premium-quality natural juice.
Слоеная лепешка из печи,Слоеная лепешка из печи,,Пештен шыққан қатпарлы нан,,Flaky Flatbread from the Oven,
"Сидр (яблочный, грушевый) бут","Сидр (яблочный, грушевый)",,"Сидр (алмалы, алмұртты)",,"Cider (Apple, Pear)",
Семифредо,Семифредо,,Семифредо,,Semifreddo,
Салат цезарь с курицей гриль,Салат цезарь с курицей гриль,,Грильде піскен тауық еті қосылған Цезарь салаты,,Caesar Salad with Grilled Chicken,
Рис,Рис,,Күріш,,Rice,
Раф ваниль,Раф ваниль,,Ванильді раф,,Vanilla Raf Coffee,
Рамен с телятиной,Рамен с телятиной,,Бұзау еті қосылған рамен,,Beef Ramen,
Рамен с курицей,Рамен с курицей,"Японский суп с пшеничной лапшой, куриным филе, грибами шиитаке и сыром тофу",Тауық еті қосылған рамен,"Бидай кеспесі, тауық филесі, шиитаке саңырауқұлақтары және тофу ірімшігі қосылған жапон сорпасы.",Chicken Ramen,"Japanese soup with wheat noodles, chicken fillet, shiitake mushrooms, and tofu cheese."
Полная проварка,Полная проварка,,Толықтай пісірілген,,Well Done,
Пицца Четыре сыра,Пицца Четыре сыра,,Төрт ірімшікті пицца,,Four Cheese Pizza,
Пицца с копченой грудкой и грибами,Пицца с копченой грудкой и грибами,Популярная пицца с копченой куриной грудкой и шампиньонами под тертым Пармезаном,Ысталған төс еті мен саңырауқұлақ қосылған пицца,"Қышқылтым Пармезан ірімшігі себілген, ысталған тауықтың төс еті мен шампиньон саңырауқұлақтары қосылған танымал пицца.",Smoked Chicken & Mushroom Pizza,Popular pizza with smoked chicken breast and champignon mushrooms topped with grated Parmesan.
Пицца Пепперони,Пицца Пепперони,Пицца с соусом из спелых томатов с добавлением пикантных колбасок пепперони под тертым пармезаном,Пепперони пиццасы,"Пісіп жетілген қызанақ тұздығы және дәмді пепперони шұжығы қосылған, үгітілген Пармезан ірімшігі себілген пицца.",Pepperoni Pizza,Pizza with ripe tomato sauce and spicy pepperoni sausages topped with grated Parmesan.
Пицца Маргарита,Пицца Маргарита,Маргарита с моцареллой и свежим базиликом под тертым пармезаном,Маргарита пиццасы,"Моцарелла ірімшігі мен жаңа піскен насыбайгүл қосылған, үгітілген Пармезан себілген Маргарита пиццасы.",Margherita Pizza,"Margherita pizza with mozzarella and fresh basil, topped with grated Parmesan."
"Пиво Tiger 0,33 бут",Пиво Tiger 330 мл,,Tiger сырасы 330 мл,,Tiger Beer 330 ml,
Паста Фетуччини,Паста Фетучини,,Фетучини пастасы,,Fettuccine Pasta,
Овощи на гриле,Овощи на гриле,"Свежие овощи, приготовленные на гриле под чесночным маслом",Грильде піскен көкөністер,Сарымсақ майымен дайындалған грильдегі жаңа піскен көкөністер.,Grilled Vegetables,Fresh vegetables grilled with garlic butter.
Не полная проварка,Неполная проварка,,Жартылай пісірілген,,Medium Rare,
"Настойка Черноплодная рябина 0,04",Настойка Черноплодная рябина 40 мл,,Қара жидек тұнбасы 40 мл,,Aronia Berry Infusion 40 ml,
"Настойка Черная смородина 0,04",Настойка Черная смородина 40 мл,,Қарақат тұнбасы 40 мл,,Black Currant Infusion 40 ml,
"Настойка Курага 0,04",Настойка Курага 40 мл,,Құрма тұнбасы 40 мл,,Dried Apricot Infusion 40 ml,
"Настойка вишня 0,04",Настойка вишня 40 мл,,Шие тұнбасы 40 мл,,Cherry Infusion 40 ml,
"Набеглави 0,5",Набеглави 500 мл,Минеральная вода из природных источников Грузии.,Набеглави 500 мл,,Nabeglavi Mineral Water 500 ml,Mineral water from the natural springs of Georgia.
"Набеглави 0,2",Набеглави 200 мл,Минеральная вода из природных источников Грузии.,Набеглави 200 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi Mineral Water 200 ml,Mineral water from the natural springs of Georgia.
Милкшейк Персик Клубника,Милкшейк Персик Клубника,"Сочная комбинация персика и клубники, которая дарит нежный и фруктовый вкус в каждом глотке, создавая идеальный кремовый напиток для настоящих любителей сладких угощений.",Шабдалы-желбегей милкшейкі,"Шабдалы мен құлпынайдың шырынды үйлесімі әр жұтымда нәзік әрі жемісті дәм сыйлайды, нағыз тәтті тағамды ұнатушыларға арналған мінсіз кілегейлі сусын жасайды.",Peach & Strawberry Milkshake,"A juicy combination of peach and strawberry that delivers a delicate and fruity taste in every sip, creating the perfect creamy drink for true sweet treat lovers."
Милкшейк Гуанабана крим,Милкшейк Гуанабана крим,,Гуанабана-крем милкшейкі,,Guanabana Cream Milkshake,
Милкшейк Груша Карамель,Милкшейк Груша Карамель,"Нежное сочетание сладкой груши и ароматной карамели, создающее кремовый и насыщенный напиток с уникальным фруктово-сладким вкусом.",Алмұрт-карамель милкшейкі,Тәтті алмұрт пен хош иісті карамельдің нәзік үйлесімі ерекше жемісті-тәтті дәмі бар қою әрі кілегейлі сусын жасайды.,Pear & Caramel Milkshake,"A gentle combination of sweet pear and aromatic caramel, creating a creamy and rich drink with a unique fruity-sweet taste."
Манная каша,Манная каша,,Жарма ботқасы,,Semolina Porridge,
"Лимонад Ягодный сорбет 0,9",Лимонад Ягодный сорбет 900 мл,,Жидек сорбеті лимонады 900 мл,,Berry Sorbet Lemonade 900 ml,
"Лимонад Ягодный сорбет 0,4",Лимонад Ягодный сорбет 400 мл,,Жидек сорбеті лимонады 400 мл,,Berry Sorbet Lemonade 400 ml,
"Лимонад Маракуйя-Гуанабана 0,9",Лимонад Маракуйя-Гуанабана 900 мл,,Құмарқат-гуанабана лимонады 900 мл,,Passion Fruit-Guanabana Lemonade 900 ml,
"Лимонад Маракуйя-Гуанабана 0,4",Лимонад Маракуйя-Гуанабана 400 мл,,Құмарқат-гуанабана лимонады 400 мл,,Passion Fruit-Guanabana Lemonade 400 ml,
"Лимонад Летняя ягода 0,9",Лимонад Летняя ягода 900 мл,,Жазғы жидек лимонады 900 мл,,Summer Berry Lemonade 900 ml,
"Лимонад Летняя ягода 0,4",Лимонад Летняя ягода 400 мл,,Жазғы жидек лимонады 400 мл,,Summer Berry Lemonade 400 ml,
"Лимонад Зеленый остров 0,9",Лимонад Зеленый остров 900 мл,,Жасыл арал лимонады 900 мл,,Green Island Lemonade 900 ml,
"Лимонад Зеленый остров 0,4",Лимонад Зеленый остров 400 мл,,Жасыл арал лимонады 400 мл,,Green Island Lemonade 400 ml,
"Лимонад Грушевый твист 0,9",Лимонад Грушевый твист 900 мл,,Алмұрт твист лимонады 900 мл,,Pear Twist Lemonade 900 ml,
"Лимонад Грушевый твист 0,4",Лимонад Грушевый твист 400 мл,,Алмұрт твист лимонады 400 мл,,Pear Twist Lemonade 400 ml,
"Лимонад Вишневый вихрь 0,9",Лимонад Вишневый вихрь 900 мл,,Шие құйыны лимонады 900 мл,,Cherry Whirlwind Lemonade 900 ml,
"Лимонад Вишневый вихрь 0,4",Лимонад Вишневый вихрь 400 мл,,Шие құйыны лимонады 400 мл,,Cherry Whirlwind Lemonade 400 ml,
"Лимонад Базиликовый сад 0,9",Лимонад Базиликовый сад 900 мл,,Базилик бағы лимонады 900 мл,,Basil Garden Lemonade 900 ml,
"Лимонад Базиликовый сад 0,4",Лимонад Базиликовый сад 400 мл,,Базилик бағы лимонады 400 мл,,Basil Garden Lemonade 400 ml,
"Латте классический 0,2",Латте классический 200 мл,,Классикалық латте 200 мл,,Classic Latte 200 ml,
Латте (200 мл),Латте 200 мл,,Латте 200 мл,,Latte 200 ml,
Курица в кисло-сладком соусе*,Курица в кисло-сладком соусе,Обжаренная карамелизированная курочка в кисло-сладком соусе с рисом и кунжутными семечками,Тауық еті тәтті-қышқыл соуспен,"Қышқыл-тәтті тұздықтағы карамельдендірілген қуырылған тауық, күріш және күнжіт дәндерімен.",Sweet and Sour Chicken,Caramelized fried chicken in sweet and sour sauce with rice and sesame seeds.
Куриный суп с лапшой,Куриный суп с лапшой,Нежный куриный суп с домашней лапшой,Кеспе қосылған тауық сорпасы,Үй кеспесі қосылған жұмсақ тауық сорпасы.,Chicken Noodle Soup,Tender chicken soup with homemade noodles.
Куриные слайсы в панировке с соусом дзадзики,,,,,,
Куриное филе с брокколи и шампиньонами,Куриное филе с брокколи и грибами,Сочное филе в идеальном сочетании с хрустящей брокколи и ароматными грибами,Брокколи мен саңырауқұлақ қосылған тауық филесі,Шырынды филе қытырлақ брокколи мен хош иісті саңырауқұлақтармен мінсіз үйлеседі.,Chicken Fillet with Broccoli and Mushrooms,Juicy fillet in a perfect combination with crispy broccoli and aromatic mushrooms.
Крылышки барбекю,Крылышки барбекю,Жареные крылышки под соусом барбекю с кунжутными семечками,Барбекю қанаттары,Барбекю тұздығындағы қуырылған тауық қанаттары күнжіт дәндерімен.,BBQ Chicken Wings,Fried chicken wings in barbecue sauce with sesame seeds.
Креветки Динамит,Креветки Динамит,Острые креветки в кляре,Динамит асшаяндары,Ащы клярдағы асшаяндар.,Dynamite Shrimp,Spicy battered shrimp.
Кофе на вынос,Кофе на вынос,,Алып кетуге арналған кофе,,Coffee To-Go,
Кофе в зале,Кофе в зале,,Залда кофе,,Coffee for Dine-In,
Коктейль Япония,Коктейль Япония,,Жапония коктейлі,,Japan Cocktail,
Коктейль Франция,Коктейль Франция,,Франция коктейлі,,France Cocktail,
Коктейль Тайланд,Коктейль Тайланд,,Тайланд коктейлі,,Thailand Cocktail,
Коктейль ОАЭ,Коктейль ОАЭ,,БАӘ коктейлі,,UAE Cocktail,
Коктейль Мексика,Коктейль Мексика,,Мексика коктейлі,,Mexico Cocktail,
Коктейль Доминикана,Коктейль Доминикана,,Доминикана коктейлі,,Dominican Republic Cocktail,
Коктейль Бразилия,Коктейль Бразилия,,Бразилия коктейлі,,Brazil Cocktail,
Коктейль Аргентина,Коктейль Аргентина,,Аргентина коктейлі,,Argentina Cocktail,
Коктейль Австралия,Коктейль Австралия,,Австралия коктейлі,,Australia Cocktail,
Коктейль MARTINI Negroni,Коктейль MARTINI Negroni,,Martini Negroni коктейлі,,MARTINI Negroni Cocktail,
Коктейль MARTINI FIERO & Tonic,Коктейль MARTINI FIERO & Tonic,,Martini Fiero & Tonic коктейлі,,MARTINI FIERO & Tonic Cocktail,
Коктейль Aperol Spritz,Коктейль Aperol Spritz,,Aperol Spritz коктейлі,,Aperol Spritz Cocktail,
Клубничное мороженое (1 шарик),Клубничное мороженое (1 шарик),,Құлпынай балмұздағы (1 шар),,Strawberry Ice Cream (1 scoop),
Кесадилья с цыпленком и сыром,Кесадилья с цыпленком,Закуска из тонкой пшеничной лепешки с сочной начинкой из сыра и курицы,Тауық еті қосылған кесадилья,Жұмсақ ірімшік пен тауық етінен дайындалған шырынды салындысы бар жұқа бидай нанынан жасалған тіскебасар.,Chicken Quesadilla,An appetizer made of thin wheat tortilla with a juicy filling of cheese and chicken.
Каша рисовая,Каша рисовая,,Күріш ботқасы,,Rice Porridge,
Каша овсяная,Каша овсяная,,Сұлы ботқасы,,Oatmeal Porridge,
Каша классическая,Каша классическая,,Классикалық ботқа,,Classic Porridge,
Картофельные дольки,Картофельные дольки,,Картоп тілімдері,,Potato Wedges,
Картофельное пюре,Пюре картофельное,"Классическое картофельное пюре, приготовленное с добавлением сливок",Картоп пюресі,"Классикалық картоп пюресі, кілегей қосылып дайындалған.",Mashed Potatoes,Classic mashed potatoes made with cream.
Капучино 300ml,Капучино 300 мл,,Капучино 300 мл,,Cappuccino 300 ml,
Капучино 200ml,Капучино 200 мл,,Капучино 200 мл,,Cappuccino 200 ml,
Зеленое смузи с киви яблоком*,Зеленый смузи с киви и яблоком,"Освежающий напиток с ярким вкусом киви и сочного яблока, который подарит заряд бодрости и свежести в каждый глоток.",Киви мен алма қосылған жасыл смузи,"Жарқын киви мен шырынды алманың дәмі бар сергіткіш сусын, әр жұтымында қуат пен балғындық сыйлайды.",Green Smoothie with Kiwi and Apple,"A refreshing drink with a bright taste of kiwi and juicy apple, giving a boost of energy and freshness in every sip."
"Завтрак Seasons (Запеканка,деревенский завтрак)",Завтрак Seasons ,"Запеканка,деревенский завтрак",Seasons таңғы асы,"Ас пісірмесі, ауылдық таңғы ас.",Seasons Breakfast,"Casserole, rustic breakfast."
Гречка,Гречка,Греча с обжаренным луком и шампиньонами,Қарақұмық,Қуырылған пияз бен шампиньон қосылған қарақұмық ботқасы.,Buckwheat,Buckwheat with fried onions and mushrooms.
Греческий салат,Греческий салат,,Грек салаты,,Greek Salad,
Грейпфрутовый фреш,Грейпфрутовый фреш,Освежающий цитрусовый фреш с приятной кислинкой и лёгкой горчинкой.,Грейпфрут фреші,Жеңіл қышқылдығы мен жұмсақ ащылығы бар сергітетін цитрусты фреш.,Grapefruit Fresh Juice,A refreshing citrus fresh juice with a pleasant acidity and light bitterness.
Горячая пита из печи,Горячая пита из печи,,Пештен жаңа шыққан пита,,Oven-Baked Pita,
Глинтвейн Красный Виноград Б/А,Глинтвейн Красный Виноград б/а,,Қызыл жүзімнен жасалған ыстық шарап (алкогольсіз),,Red Grape Mulled Wine (Non-Alcoholic),
Глинтвейн Красная Смородина Б/А,Глинтвейн Красная Смородина б/а,,Қарақаттан жасалған ыстық шарап (алкогольсіз),,Red Currant Mulled Wine (Non-Alcoholic),
Глинтвейн Апельсиново-Имбирный Б/А,Глинтвейн Апельсиново-Имбирный б/а,,Апельсин-имбирь ыстық шарабы (алкогольсіз),,Orange-Ginger Mulled Wine (Non-Alcoholic),
Вишневый сок (700 мл),Вишневый сок 700 мл,,Шие шырыны 700 мл,,Cherry Juice 700 ml,
Вишневый сок (200 мл),Вишневый сок 200 мл,,Шие шырыны 200 мл,,Cherry Juice 200 ml,
Ванильное мороженое (1 шарик),Ванильное мороженое (1 шарик),,Ванильді балмұздақ (1 шар),,Vanilla Ice Cream (1 scoop),
Буррата со спелыми томатами и соусом песто,Буррата со спелыми томатами и соусом песто,,Піскен қызанақ пен песто соусы қосылған буррата,,Burrata with Ripe Tomatoes and Pesto Sauce,
Бургер телятина,Бургер телятина,,Бұзау етінен бургер,,Veal Burger,
Брауни с лесными орехами и карамелью,Брауни с лесными орехами и карамелью,,Жаңғақ және карамель қосылған брауни,,Brownie with Hazelnuts and Caramel,
Бефстроганов с пюре,Бефстроганов с пюре,Классический бефстроганов с картофельным пюре и маринованными корнишонами,Картоп пюресімен берілетін Бефстроганов,Классикалық Бефстроганов картоп пюресі мен маринадталған корнишон қосылған.,Beef Stroganoff with Mashed Potatoes,Classic Beef Stroganoff with mashed potatoes and pickled gherkins.
Бельгийские вафли,Бельгийские вафли с бананом,Горячие свежеиспеченные пшеничные вафли с бананом и мороженым,Банан қосылған бельгиялық вафли,Жаңа піскен ыстық бидай вафлилері банан мен балмұздақпен.,Belgian Waffles with Banana,"Hot, freshly baked wheat waffles with banana and ice cream."
