needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Поке с лососем,Поке с лососем,Неподражаемый по полезности поке со слабосоленым норвежским лососем и спелым авокадо,Лосось қосылған поке,Жеңіл тұздалған норвегиялық лосось пен піскен авокадо қосылған пайдалы поке,Poke with salmon,Healthy poke with lightly salted Norwegian salmon and ripe avocado
Фитнес Боул с киноа NEW,Фитнес боул с курицей и киноа,"Белковый фитнес боул с обжаренной курочкой, киноа и авокадо",Тауық пен киноа қосылған фитнес боулы,"Қуырылған тауық, киноа және авокадо қосылған ақуызды фитнес боулы",Fitness bowl with chicken and quinoa,"Protein-packed fitness bowl with grilled chicken, quinoa, and avocado"
Пенне арабьята,Пенне Аррабиата,Пенне под соусом из микса спелых томатов с базиликом,Пенне Арраббьята,Піскен қызанақ пен райхан қоспасынан жасалған тұздықтағы пенне,Penne Arrabbiata,Penne in a sauce made from a mix of ripe tomatoes and basil
Брокколи по итальянски,Брокколи по-итальянски,Брокколи с розмарином в оливковом масле с чесноком,Италиянша брокколи,"Розмарин қосылған брокколи, зәйтүн майында қуырылған сарымсақпен",Italian-style broccoli,"Broccoli with rosemary, sautéed in olive oil with garlic"
Сырники с иримшиком,Сырники из иримшика,Теплые сырники из иримшика с ягодным соусом и сливочным муссом,Ірімшік қосылған сырники,Жидек тұздығы мен кілегейлі мусс қосылған жылы иримшик сырнигі,Syrniki with irimshik,"Warm syrniki made from irimshik cheese, served with berry sauce and creamy mousse"
"Лимонад Манго-Маракуйя 0,400",Манго-маракуйя 400 мл,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 400 мл,Тропикалық дәмдердің жарылысы: тәтті манго мен экзотикалық маракуйя балғындық пен жеңіл қышқылдық үйлесімін жасайды,Mango passion fruit 400 ml,A tropical explosion of flavors: sweet mango and exotic passion fruit create a perfect balance of freshness and light tartness
Манго-маракуйя 1л,Манго-маракуйя 1 л,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 1 л,Тропикалық дәмдердің жарылысы: тәтті манго мен экзотикалық маракуйя балғындық пен жеңіл қышқылдық үйлесімін жасайды,Mango passion fruit 1 l,A tropical explosion of flavors: sweet mango and exotic passion fruit create a perfect balance of freshness and light tartness
"Лимонад Малина-базилик-шиповник 0,400",Малина-базилик-шиповник 400 мл," Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Таңқурай-базилик-итмұрын 400 мл,"Жидектердің ашық қоспасы: қанық таңқурай, жаңа піскен райхан және итмұрынның жеңіл қышқылдығы",Raspberry-basil-rosehip 400 ml,"A bright berry mix with delicate herbal notes: rich raspberry, fresh basil, and a hint of tart rosehip"
Малина-базелик-шиповник 1л,Малина-базилик-шиповник 1 л," Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Таңқурай-базилик-итмұрын 1 л,"Жидектердің ашық қоспасы: қанық таңқурай, жаңа піскен райхан және итмұрынның жеңіл қышқылдығы",Raspberry-basil-rosehip 1 l,"A bright berry mix with delicate herbal notes: rich raspberry, fresh basil, and a hint of tart rosehip"
"Лимонад Вишня-тибетская ромашка 0,400",Вишня-тибетская ромашка 400 мл,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Шие-тибет түймедағы 400 мл,Шырынды шиенің терең дәмі мен тибет түймедағының нәзік нотасы тәттілік пен жеңіл қышқылдықтың үйлесімін жасайды,Cherry-Tibetan chamomile 400 ml,"Deep, juicy cherry flavor with a delicate touch of Tibetan chamomile, creating a perfect balance of sweetness and mild astringency"
Вишня-тибетская ромашка 1л,Вишня-тибетская ромашка 1л,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Шие-тибет түймедағы 1 л,Шырынды шиенің терең дәмі мен тибет түймедағының нәзік нотасы тәттілік пен жеңіл қышқылдықтың үйлесімін жасайды,Cherry-Tibetan chamomile 1 l,"Deep, juicy cherry flavor with a delicate touch of Tibetan chamomile, creating a perfect balance of sweetness and mild astringency"
"Лимонад Тархун 0,400",Тархун-кафир лайм 400 мл,"Освежающий тандем пряного тархуна и ароматного каффир-лайма для тех, кто любит необычные вкусовые сочетания.",Тархун-кафир лайм 400 мл,Қышқыл тархун мен хош иісті каффир лаймының сергітетін үйлесімі ерекше дәмдерді ұнататындар үшін,Tarragon-kaffir lime 400 ml,A refreshing combination of tangy tarragon and aromatic kaffir lime for those who love unique flavor pairings
Тархун 1л ,Тархун-кафир лайм 1 л,"Освежающий тандем пряного тархуна и ароматного каффир-лайма для тех, кто любит необычные вкусовые сочетания.",Тархун-кафир лайм 1 л,Қышқыл тархун мен хош иісті каффир лаймының сергітетін үйлесімі ерекше дәмдерді ұнататындар үшін,Tarragon-kaffir lime 1 l,A refreshing combination of tangy tarragon and aromatic kaffir lime for those who love unique flavor pairings
"Лимонад Клубника-улун 0,400",Клубника-улун 400 мл,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Құлпынай-улун 400 мл,Құлпынайдың нәзік тәттілігі улун шайының жұмсақ дәмімен үйлеседі – жеңіл және үйлесімді дәм,Strawberry-oolong 400 ml,The delicate sweetness of strawberries combined with the smooth tea aftertaste of oolong – a light and harmonious flavor
Клубника-улун1л ,Клубника-улун 1 л,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Құлпынай-улун 1 л,Құлпынайдың нәзік тәттілігі улун шайының жұмсақ дәмімен үйлеседі – жеңіл және үйлесімді дәм,Strawberry-oolong 1 l,The delicate sweetness of strawberries combined with the smooth tea aftertaste of oolong – a light and harmonious flavor
"Лимонад имбирь цитрусы 0,400",Имбирь цитрусы 400 мл,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Зімбір-цитрус 400 мл,Шырынды цитрустармен толықтырылған ащы имбирь сергітетін әрі жылытатын дәм жасайды,Ginger citrus 400 ml,Spicy ginger complemented by juicy citrus fruits creates an invigorating and warming taste with a subtle kick
Имбирь цитрус 1л ,Имбирь цитрусы 1 л,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Зімбір-цитрус 1 л,Шырынды цитрустармен толықтырылған ащы имбирь сергітетін әрі жылытатын дәм жасайды,Ginger citrus 1 l,Spicy ginger complemented by juicy citrus fruits creates an invigorating and warming taste with a subtle kick
"Perrier Maison Peach Cherry 0,250",Perrier Maison Peach Cherry 250 мл,Французская классика со вкусом спелого персика и сочной черешни – лёгкое игристое наслаждение с освежающей газировкой.,Perrier Maison Peach Cherry 250 мл,Піскен шабдалы мен шырынды шие дәмі бар француз классикасы – сергітетін газдалған сусын,Perrier Maison Peach Cherry 250 ml,A French classic with the taste of ripe peach and juicy cherry – a light sparkling delight with a refreshing fizz
Фри с пармезаном,Фри с пармезаном,Хрустящий фри под сырным соусом с тертым пармезаном,Пармезан қосылған фри,Үгітілген пармезан мен ірімшік тұздығы қосылған қытырлақ фри,Fries with parmesan,Crispy fries topped with cheese sauce and grated Parmesan
"Чай листовой Ройбуш ваниль-карамель 0,900",Чай листовой Ройбуш ваниль-карамель 900 мл,,Ройбуш шайы 900 мл,,Loose Leaf Rooibos Tea with Vanilla-Caramel 900 ml,
"Чай листовой Ройбуш  ваниль-карамель 0,400",Чай листовой Ройбуш ваниль-карамель 400 мл,,Ройбуш шайы 400 мл,,Loose Leaf Rooibos Tea with Vanilla-Caramel 400 ml,
