needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Чай листовой черный Ассам 400 мл,Чай листовой черный Ассам 400 мл,"Чёрный чай с глубоким, насыщенным вкусом и лёгкой терпкостью.",Ассам шайы 400 мл,,Loose Leaf Black Assam Tea 400 ml,
Американо 250 мл,Американо 250 мл,Классический чёрный кофе с насыщенным ароматом и сбалансированной горчинкой.,Американо 250 мл,,Americano 250 ml,
Чай Молочный Улун 400 мл,Чай Молочный Улун 400 мл,Мягкий и сливочный улун с бархатистым молочным послевкусием.,Чай Молочный Улун 400 мл,,Milk Oolong tea 400 ml,
Чай листовой Ройбуш ваниль-карамель 900 мл,Чай листовой Ройбуш ваниль-карамель 900 мл,Благородный ройбуш с мягкими сливочно-карамельными оттенками.,Ройбуш шайы 900 мл,Жұмсақ кілегейлі-карамельді реңктері бар асыл ройбуш.,Loose Leaf Rooibos Tea with Vanilla-Caramel 900 ml,Noble rooibos with soft creamy-caramel notes.
Айс латте,Айс латте,"Нежный холодный кофейный напиток с молоком, приятной сливочностью и мягким вкусом.",Айс латте,,Iced latte,
Лосось на гриле,Лосось на гриле,Нежнейший стейк норвежского лосося на гриле в соусе терияки с рисом и шпинатом,Грильде пісірілген лосось,"Терияки соусында грильде дайындалған норвегиялық лосось стейкі, күріш және шпинатпен",Grilled Salmon,Tender grilled Norwegian salmon steak in teriyaki sauce with rice and spinach
Стейк Рибай с перечным соусом,Стейк Рибай с перечным соусом,"Сочный стейк из мраморной говядины с перечным соусом, подается в разрезанном виде с луком сибулет",Бұрыш соусы қосылған Рибай стейкі,"Шырынды мәрмәр сиыр етінен жасалған стейк бұрыш соусымен, кесілген түрде сибулет пиязымен бірге беріледі.",Ribeye steak with pepper sauce,"Juicy marbled beef steak with pepper sauce, served sliced with chives"
Бефстроганов с пюре,Бефстроганов с пюре,Классический бефстроганов с картофельным пюре и маринованными корнишонами,Картоп пюресімен берілетін Бефстроганов,Классикалық Бефстроганов картоп пюресі мен маринадталған корнишон қосылған.,Beef Stroganoff with Mashed Potatoes,Classic Beef Stroganoff with mashed potatoes and pickled gherkins.
Куриное филе с брокколи и грибами,Куриное филе с брокколи и грибами,Сочное филе в идеальном сочетании с хрустящей брокколи и ароматными грибами,Брокколи мен саңырауқұлақ қосылған тауық филесі,Шырынды филе қытырлақ брокколи мен хош иісті саңырауқұлақтармен мінсіз үйлеседі.,Chicken Fillet with Broccoli and Mushrooms,Juicy fillet in a perfect combination with crispy broccoli and aromatic mushrooms.
Торт медовик,Торт медовик,,Бал бисквиті,,Honey Cake (Medovik),
Пивные байты,Пивные байты,"Крылья, луковые кольца, гарлики, сырные палочки. Сытный набор пивных байтов не оставит вас равнодушным",Сыраға арналған тіскебасарлар,"Қанаттар, пияз сақиналары, сарымсақ нандары, сыр таяқшалары. Құнарлы сыраға арналған тіскебасарлар жиынтығы сізді бей-жай қалдырмайды",Beer Snacks,"Wings, onion rings, garlic breadsticks, and cheese sticks. A hearty beer snack set that won’t leave you indifferent"
Сет мезе с питой из печи,Сет мезе с питой из печи,"Сет восточных закусок с питой из печи: бабагануш, хумус, гуакамоле, капоната с фетой",Пештен шыққан питамен мезе сеті,"Пештен шыққан пита қосылған шығыстық тіскебасарлар жиынтығы: бабагануш, хумус, гуакамоле, фета қосылған капоната",Meze Set with Oven-Baked Pita,"Set of Eastern appetizers with oven-baked pita: baba ganoush, hummus, guacamole, caponata with feta"
Фитнес боул с киноа ,Фитнес боул с киноа ,"Белковый фитнес боул с обжаренной курочкой, киноа и авокадо",Киноа қосылған фитнес боулы,"Қуырылған тауық еті, киноа және авокадо қосылған ақуызды фитнес боулы",Fitness bowl with quinoa.,"Protein fitness bowl with grilled chicken, quinoa, and avocado."
Брокколи по-итальянски,Брокколи по-итальянски,Брокколи с розмарином в оливковом масле с чесноком,Италиянша брокколи,"Розмарин қосылған брокколи, зәйтүн майында қуырылған сарымсақпен",Italian-style broccoli,"Broccoli with rosemary, sautéed in olive oil with garlic"
Манго-маракуйя 1 л,Манго-маракуйя 1 л,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 1 л,Тропикалық дәмдердің жарылысы: тәтті манго мен экзотикалық маракуйя балғындық пен жеңіл қышқылдық үйлесімін жасайды,Mango passion fruit 1 l,A tropical explosion of flavors: sweet mango and exotic passion fruit create a perfect balance of freshness and light tartness
Малина-базилик-шиповник 1 л,Малина-базилик-шиповник 1 л,"Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Таңқурай-базилик-итмұрын 1 л,"Жидектердің ашық қоспасы: қанық таңқурай, жаңа піскен райхан және итмұрынның жеңіл қышқылдығы",Raspberry-basil-rosehip 1 l,"A bright berry mix with delicate herbal notes: rich raspberry, fresh basil, and a hint of tart rosehip"
Вишня-тибетская ромашка 1л,Вишня-тибетская ромашка 1л,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Шие-тибет түймедағы 1 л,Шырынды шиенің терең дәмі мен тибет түймедағының нәзік нотасы тәттілік пен жеңіл қышқылдықтың үйлесімін жасайды,Cherry-Tibetan chamomile 1 l,"Deep, juicy cherry flavor with a delicate touch of Tibetan chamomile, creating a perfect balance of sweetness and mild astringency"
Тархун-кафир лайм 1 л,Тархун-кафир лайм 1 л,"Освежающий тандем пряного тархуна и ароматного каффир-лайма для тех, кто любит необычные вкусовые сочетания.",Тархун-кафир лайм 1 л,Қышқыл тархун мен хош иісті каффир лаймының сергітетін үйлесімі ерекше дәмдерді ұнататындар үшін,Tarragon-kaffir lime 1 l,A refreshing combination of tangy tarragon and aromatic kaffir lime for those who love unique flavor pairings
Тархун-кафир лайм 400 мл,Тархун-кафир лайм 400 мл,"Освежающий тандем пряного тархуна и ароматного каффир-лайма для тех, кто любит необычные вкусовые сочетания.",Тархун-кафир лайм 400 мл,Қышқыл тархун мен хош иісті каффир лаймының сергітетін үйлесімі ерекше дәмдерді ұнататындар үшін,Tarragon-kaffir lime 400 ml,A refreshing combination of tangy tarragon and aromatic kaffir lime for those who love unique flavor pairings
Клубника-улун 400 мл,Клубника-улун 400 мл,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Құлпынай-улун 400 мл,Құлпынайдың нәзік тәттілігі улун шайының жұмсақ дәмімен үйлеседі – жеңіл және үйлесімді дәм,Strawberry-oolong 400 ml,The delicate sweetness of strawberries combined with the smooth tea aftertaste of oolong – a light and harmonious flavor
Клубника-улун 1 л,Клубника-улун 1 л,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Құлпынай-улун 1 л,Құлпынайдың нәзік тәттілігі улун шайының жұмсақ дәмімен үйлеседі – жеңіл және үйлесімді дәм,Strawberry-oolong 1 l,The delicate sweetness of strawberries combined with the smooth tea aftertaste of oolong – a light and harmonious flavor
Имбирь цитрусы 1 л,Имбирь цитрусы 1 л,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Зімбір-цитрус 1 л,Шырынды цитрустармен толықтырылған ащы имбирь сергітетін әрі жылытатын дәм жасайды,Ginger citrus 1 l,Spicy ginger complemented by juicy citrus fruits creates an invigorating and warming taste with a subtle kick
Имбирь цитрусы 400 мл,Имбирь цитрусы 400 мл,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Зімбір-цитрус 400 мл,Шырынды цитрустармен толықтырылған ащы имбирь сергітетін әрі жылытатын дәм жасайды,Ginger citrus 400 ml,Spicy ginger complemented by juicy citrus fruits creates an invigorating and warming taste with a subtle kick
Манго-маракуйя 400 мл,Манго-маракуйя 400 мл,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 400 мл,Тропикалық дәмдердің жарылысы: тәтті манго мен экзотикалық маракуйя балғындық пен жеңіл қышқылдық үйлесімін жасайды,Mango passion fruit 400 ml,A tropical explosion of flavors: sweet mango and exotic passion fruit create a perfect balance of freshness and light tartness
Малина-базилик-шиповник 400 мл,Малина-базилик-шиповник 400 мл,"Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Таңқурай-базилик-итмұрын 400 мл,"Жидектердің ашық қоспасы: қанық таңқурай, жаңа піскен райхан және итмұрынның жеңіл қышқылдығы",Raspberry-basil-rosehip 400 ml,"A bright berry mix with delicate herbal notes: rich raspberry, fresh basil, and a hint of tart rosehip"
Вишня-тибетская ромашка 400 мл,Вишня-тибетская ромашка 400 мл,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Шие-тибет түймедағы 400 мл,Шырынды шиенің терең дәмі мен тибет түймедағының нәзік нотасы тәттілік пен жеңіл қышқылдықтың үйлесімін жасайды,Cherry-Tibetan chamomile 400 ml,"Deep, juicy cherry flavor with a delicate touch of Tibetan chamomile, creating a perfect balance of sweetness and mild astringency"
Perrier Maison Peach Cherry 250 мл,Perrier Maison Peach Cherry 250 мл,Французская классика со вкусом спелого персика и сочной черешни – лёгкое игристое наслаждение с освежающей газировкой.,Perrier Maison Peach Cherry 250 мл,Піскен шабдалы мен шырынды шие дәмі бар француз классикасы – сергітетін газдалған сусын,Perrier Maison Peach Cherry 250 ml,A French classic with the taste of ripe peach and juicy cherry – a light sparkling delight with a refreshing fizz
Солянка,Солянка,Густая солянка с копченой говядиной и курочкой,Солянка,Ысталған сиыр еті мен тауық қосылған қою солянка,Solyanka,Thick solyanka soup with smoked beef and chicken
Зеленый салат ,Зеленый салат ,,Жасыл салат,,Green salad,
Салат Миконос,Салат Миконос,"Свежие овощи, мясистые оливки, греческий сыр и ремесленных хлеб под оригинальной заправкой",Миконос салаты,"Жаңа піскен көкөністер, етті зәйтүндер, грек ірімшігі және арнайы тұздықпен берілетін қолөнер наны",Mykonos salad,"Fresh vegetables, meaty olives, Greek cheese, and artisan bread with a signature dressing"
Салат Патонг,Салат Патонг,"Карамелизированные баклажаны со свежими томатами под азиатским соусом, украшенные кинзой и кунжутными семечками",Патонг салаты,"Карамелденген баклажандар жаңа қызанақтармен азиялық тұздықта, кинза мен күнжіт тұқымдарымен безендірілген",Patong salad,"Caramelized eggplants with fresh tomatoes in an Asian sauce, garnished with cilantro and sesame seeds"
Куриный бургер,Куриный бургер,Классический бургер с сочной котлетой из цыпленка,Тауық бургері,Шырынды тауық котлеті бар классикалық бургер,Chicken burger,Classic burger with a juicy chicken patty
Чайла донер из курицы,Чайла донер из курицы,"Фирменный донер с курицей, маринованными огурцами и фри, подается с картофелем фри и кетчупом",Тауық шайла донері,"Фирмалық тауық донері маринадталған қияр мен картоп фрисімен, картоп фри және кетчуппен беріледі.",Chayla chicken doner,"Signature chicken döner with pickled cucumbers and fries, served with fries and ketchup"
Поке с лососем,Поке с лососем,"Свежий рис с лососем, авокадо, чуккой, ананасом и ореховой заправкой.",Лососьпен поке,"Жаңа күріш лососьпен, авокадо, чуккамен, ананаспен және жаңғақ тұздығымен.",Poke with salmon,"Fresh rice with salmon, avocado, chuka, pineapple, and nut dressing."
Фитнес боул с курицей и киноа,Фитнес боул с курицей и киноа,"Белковый фитнес боул с обжаренной курочкой, киноа и авокадо",Тауық пен киноа қосылған фитнес боулы,"Қуырылған тауық, киноа және авокадо қосылған ақуызды фитнес боулы",Fitness bowl with chicken and quinoa,"Protein-packed fitness bowl with grilled chicken, quinoa, and avocado"
Крылышки барбекю,Крылышки барбекю,Жареные крылышки под соусом барбекю с кунжутными семечками,Барбекю қанаттары,Тұздықта барбекю соусымен және күнжіт тұқымымен қуырылған қанаттар,Barbecue wings,Fried chicken wings with barbecue sauce and sesame seeds
